       1.390000      -5.137844      -2.015407       1.557860
       1.400000      -5.048807      -1.962573       1.558340
       1.410000      -4.967817      -1.912204       1.558880
       1.420000      -4.896747      -1.864633       1.559434
       1.430000      -4.837265      -1.819586       1.559968
       1.440000      -4.790072      -1.776325       1.560457
       1.450000      -4.753924      -1.734099       1.560878
       1.460000      -4.724910      -1.692478       1.561215
       1.470000      -4.696696      -1.651416       1.561465
       1.480000      -4.662133      -1.611065       1.561644
       1.490000      -4.615555      -1.571403       1.561786
       1.500000      -4.554427      -1.531859       1.561930
       1.510000      -4.479465      -1.491406       1.562111
       1.520000      -4.393553      -1.449214       1.562349
       1.530000      -4.300351      -1.405237       1.562649
       1.540000      -4.203267      -1.360205       1.562998
       1.550000      -4.104941      -1.315122       1.563373
       1.560000      -4.007113      -1.270706       1.563749
       1.570000      -3.910721      -1.227059       1.564107
       1.580000      -3.816167      -1.183685       1.564445
       1.590000      -3.723680      -1.139916       1.564765
       1.600000      -3.633668      -1.095561       1.565074
       1.610000      -3.546916      -1.051307       1.565380
       1.620000      -3.464614      -1.008524       1.565687
       1.630000      -3.388279      -0.968642       1.566003
       1.640000      -3.319662      -0.932606       1.566343
       1.650000      -3.260609      -0.900676       1.566728
       1.660000      -3.212849      -0.872471       1.567178
       1.670000      -3.177682      -0.847116       1.567698
       1.680000      -3.155658      -0.823502       1.568277
       1.690000      -3.146425      -0.800560       1.568883
       1.700000      -3.148832      -0.777331       1.569480
       1.710000      -3.161032      -0.752806       1.570038
       1.720000      -3.180241      -0.725858       1.570536
       1.730000      -3.202244      -0.695530       1.570970
       1.740000      -3.221267      -0.661566       1.571339
       1.750000      -3.230920      -0.624755       1.571648
       1.760000      -3.226071      -0.586859       1.571904
       1.770000      -3.204487      -0.550176       1.572125
       1.780000      -3.167108      -0.516881       1.572331
       1.790000      -3.116983      -0.488251       1.572550
       1.800000      -3.057825      -0.464157       1.572807
       1.810000      -2.993019      -0.443269       1.573121
       1.820000      -2.925291      -0.423940       1.573499
       1.830000      -2.856805      -0.405146       1.573937
       1.840000      -2.789348      -0.386811       1.574410
       1.850000      -2.724446      -0.369429       1.574887
       1.860000      -2.663386      -0.353461       1.575335
       1.870000      -2.607242      -0.338980       1.575742
       1.880000      -2.556904      -0.325671       1.576113
       1.890000      -2.513129      -0.312990       1.576457
       1.900000      -2.476548      -0.300386       1.576787
       1.910000      -2.447591      -0.287530       1.577120
       1.920000      -2.426315      -0.274508       1.577484
       1.930000      -2.412184      -0.261864       1.577908
       1.940000      -2.403803      -0.250467       1.578403
       1.950000      -2.398674      -0.241229       1.578968
       1.960000      -2.393224      -0.234799       1.579601
       1.970000      -2.383437      -0.231344       1.580310
       1.980000      -2.366027      -0.230459       1.581097
       1.990000      -2.339494      -0.231355       1.581943
       2.000000      -2.304332      -0.233326       1.582813
       2.010000      -2.262368      -0.236185       1.583680
       2.020000      -2.215817      -0.240294       1.584534
       2.030000      -2.166595      -0.246273       1.585363
       2.040000      -2.116071      -0.254743       1.586151
       2.050000      -2.065150      -0.266118       1.586881
       2.060000      -2.014482      -0.280262       1.587555
       2.070000      -1.964652      -0.296173       1.588183
       2.080000      -1.916284      -0.312157       1.588765
       2.090000      -1.870063      -0.326416       1.589287
       2.100000      -1.826692      -0.337504       1.589722
       2.110000      -1.786832      -0.344431       1.590034
       2.120000      -1.751084      -0.346716       1.590184
       2.130000      -1.719980      -0.344509       1.590137
       2.140000      -1.693940      -0.338549       1.589881
       2.150000      -1.673143      -0.329789       1.589439
       2.160000      -1.657332      -0.318971       1.588868
       2.170000      -1.645610      -0.306445       1.588239
       2.180000      -1.636303      -0.292322       1.587614
       2.190000      -1.627019      -0.276754       1.587023
       2.200000      -1.615035      -0.260079       1.586462
       2.210000      -1.598032      -0.242707       1.585911
       2.220000      -1.574806      -0.224887       1.585350
       2.230000      -1.545513      -0.206600       1.584759
       2.240000      -1.511346      -0.187639       1.584117
       2.250000      -1.473969      -0.167792       1.583407
       2.260000      -1.435026      -0.146995       1.582632
       2.270000      -1.395833      -0.125387       1.581822
       2.280000      -1.357240      -0.103239       1.581037
       2.290000      -1.319643      -0.080856       1.580342
       2.300000      -1.283129      -0.058534       1.579787
       2.310000      -1.247670      -0.036539       1.579394
       2.320000      -1.213299      -0.015122       1.579165
       2.330000      -1.180202       0.005522       1.579082
       2.340000      -1.148724       0.025384       1.579102
       2.350000      -1.119305       0.044777       1.579158
       2.360000      -1.092386       0.064346       1.579167
       2.370000      -1.068344       0.084913       1.579058
       2.380000      -1.047467       0.107214       1.578791
       2.390000      -1.029934       0.131626       1.578370
       2.400000      -1.015702       0.158052       1.577848
       2.410000      -1.004303       0.186017       1.577308
       2.420000      -0.994667       0.214841       1.576844
       2.430000      -0.985134       0.243785       1.576523
       2.440000      -0.973762       0.272199       1.576375
       2.450000      -0.958888       0.299623       1.576394
       2.460000      -0.939663       0.325727       1.576544
       2.470000      -0.916203       0.350080       1.576775
       2.480000      -0.889332       0.371905       1.577031
       2.490000      -0.860157       0.389938       1.577251
       2.500000      -0.829735       0.402409       1.577372
       2.510000      -0.798936       0.407167       1.577328
       2.520000      -0.768420       0.402196       1.577072
       2.530000      -0.738658       0.386648       1.576601
       2.540000      -0.709940       0.362024       1.575980
       2.550000      -0.682393       0.332600       1.575319
       2.560000      -0.656022       0.304386       1.574727
       2.570000      -0.630783       0.282979       1.574270
       2.580000      -0.606667       0.271785       1.573965
       2.590000      -0.583748       0.271643       1.573790
       2.600000      -0.562192       0.281542       1.573693
       2.610000      -0.542227       0.299551       1.573605
       2.620000      -0.524119       0.323457       1.573450
       2.630000      -0.508122       0.351124       1.573172
       2.640000      -0.494410       0.380717       1.572751
       2.650000      -0.482928       0.410867       1.572213
       2.660000      -0.473223       0.440711       1.571612
       2.670000      -0.464342       0.469728       1.571002
       2.680000      -0.454947       0.497307       1.570422
       2.690000      -0.443665       0.522252       1.569885
       2.700000      -0.429548       0.542539       1.569392
       2.710000      -0.412348       0.555517       1.568934
       2.720000      -0.392449       0.558542       1.568504
       2.730000      -0.370558       0.549889       1.568108
       2.740000      -0.347405       0.529696       1.567774
       2.750000      -0.323580       0.500607       1.567544
       2.760000      -0.299529       0.467638       1.567461
       2.770000      -0.275603       0.437003       1.567543
       2.780000      -0.252106       0.414244       1.567768
       2.790000      -0.229294       0.402671       1.568072
       2.800000      -0.207348       0.402937       1.568372
       2.810000      -0.186357       0.413677       1.568596
       2.820000      -0.166338       0.432526       1.568696
       2.830000      -0.147279       0.456979       1.568659
       2.840000      -0.129180       0.484896       1.568506
       2.850000      -0.112091       0.514683       1.568294
       2.860000      -0.096118       0.545215       1.568095
       2.870000      -0.081410       0.575615       1.567969
       2.880000      -0.068112       0.605037       1.567939
       2.890000      -0.056300       0.632591       1.567995
       2.900000      -0.045886       0.657334       1.568108
       2.910000      -0.036529       0.678257       1.568245
       2.920000      -0.027596       0.694209       1.568381
       2.930000      -0.018244       0.703920       1.568513
       2.940000      -0.007632       0.706214       1.568664
       2.950000       0.004815       0.700408       1.568867
       2.960000       0.019264       0.686723       1.569144
       2.970000       0.035501       0.666615       1.569493
       2.980000       0.053111       0.642929       1.569880
       2.990000       0.071653       0.619665       1.570258
       3.000000       0.090758       0.601102       1.570573
       3.010000       0.110130       0.590532       1.570769
       3.020000       0.129513       0.589366       1.570807
       3.030000       0.148674       0.597143       1.570684
       3.040000       0.167418       0.612262       1.570451
       3.050000       0.185606       0.632806       1.570213
       3.060000       0.203172       0.657046       1.570101
       3.070000       0.220111       0.683597       1.570215
       3.080000       0.236444       0.711368       1.570586
       3.090000       0.252166       0.739467       1.571171
       3.100000       0.267213       0.767101       1.571885
       3.110000       0.281464       0.793482       1.572636
       3.120000       0.294777       0.817784       1.573339
       3.130000       0.307046       0.839180       1.573917
       3.140000       0.318245       0.856948       1.574306
       3.150000       0.328473       0.870553       1.574482
       3.160000       0.337986       0.879683       1.574474
       3.170000       0.347213       0.884210       1.574374
       3.180000       0.356713       0.884139       1.574300
       3.190000       0.367043       0.879629       1.574355
       3.200000       0.378596       0.871145       1.574593
       3.210000       0.391503       0.859718       1.575007
       3.220000       0.405657       0.847167       1.575547
       3.230000       0.420812       0.836024       1.576150
       3.240000       0.436691       0.828984       1.576752
       3.250000       0.453047       0.828093       1.577304
       3.260000       0.469675       0.834190       1.577788
       3.270000       0.486406       0.846921       1.578222
       3.280000       0.503097       0.865174       1.578643
       3.290000       0.519634       0.887540       1.579084
       3.300000       0.535933       0.912586       1.579567
       3.310000       0.551940       0.938963       1.580095
       3.320000       0.567619       0.965439       1.580661
       3.330000       0.582950       0.990919       1.581256
