  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       1.510000       0.028020       0.001388       0.060034
       1.520000       0.028281       0.001399       0.062936
       1.530000       0.028544       0.001409       0.066171
       1.540000       0.028809       0.001419       0.069764
       1.550000       0.029076       0.001429       0.073737
       1.560000       0.029345       0.001439       0.078096
       1.570000       0.029616       0.001450       0.082826
       1.580000       0.029889       0.001460       0.087876
       1.590000       0.030164       0.001470       0.093148
       1.600000       0.030441       0.001481       0.098480
       1.610000       0.030720       0.001491       0.103647
       1.620000       0.031001       0.001502       0.108363
       1.630000       0.031285       0.001512       0.112314
       1.640000       0.031570       0.001522       0.115211
       1.650000       0.031858       0.001533       0.116854
       1.660000       0.032149       0.001543       0.117182
       1.670000       0.032441       0.001554       0.116289
       1.680000       0.032736       0.001564       0.114406
       1.690000       0.033033       0.001575       0.111837
       1.700000       0.033333       0.001586       0.108903
       1.710000       0.033635       0.001596       0.105892
       1.720000       0.033940       0.001607       0.103028
       1.730000       0.034248       0.001618       0.100471
       1.740000       0.034557       0.001628       0.098322
       1.750000       0.034870       0.001639       0.096637
       1.760000       0.035185       0.001650       0.095441
       1.770000       0.035503       0.001660       0.094738
       1.780000       0.035824       0.001671       0.094525
       1.790000       0.036147       0.001682       0.094793
       1.800000       0.036473       0.001693       0.095533
       1.810000       0.036803       0.001704       0.096740
       1.820000       0.037135       0.001715       0.098416
       1.830000       0.037470       0.001726       0.100565
       1.840000       0.037808       0.001737       0.103201
       1.850000       0.038149       0.001748       0.106343
       1.860000       0.038494       0.001759       0.110019
       1.870000       0.038841       0.001770       0.114262
       1.880000       0.039192       0.001781       0.119111
       1.890000       0.039546       0.001792       0.124611
       1.900000       0.039904       0.001803       0.130808
       1.910000       0.040264       0.001814       0.137745
       1.920000       0.040629       0.001825       0.145459
       1.930000       0.040997       0.001837       0.153966
       1.940000       0.041368       0.001848       0.163257
       1.950000       0.041743       0.001859       0.173282
       1.960000       0.042122       0.001871       0.183945
       1.970000       0.042505       0.001882       0.195104
       1.980000       0.042891       0.001893       0.206590
       1.990000       0.043281       0.001905       0.218237
       2.000000       0.043676       0.001916       0.229923
       2.010000       0.044074       0.001928       0.241611
       2.020000       0.044476       0.001939       0.253346
       2.030000       0.044883       0.001951       0.265229
       2.040000       0.045294       0.001962       0.277350
       2.050000       0.045709       0.001974       0.289725
       2.060000       0.046129       0.001986       0.302255
       2.070000       0.046553       0.001997       0.314730
       2.080000       0.046982       0.002009       0.326890
       2.090000       0.047416       0.002021       0.338501
       2.100000       0.047854       0.002033       0.349429
       2.110000       0.048297       0.002045       0.359654
       2.120000       0.048745       0.002056       0.369223
       2.130000       0.049198       0.002068       0.378161
       2.140000       0.049657       0.002080       0.386382
       2.150000       0.050120       0.002092       0.393672
       2.160000       0.050589       0.002104       0.399731
       2.170000       0.051063       0.002116       0.404285
       2.180000       0.051543       0.002128       0.407216
       2.190000       0.052029       0.002141       0.408643
       2.200000       0.052520       0.002153       0.408931
       2.210000       0.053017       0.002165       0.408610
       2.220000       0.053520       0.002177       0.408248
       2.230000       0.054029       0.002190       0.408313
       2.240000       0.054545       0.002202       0.409082
       2.250000       0.055067       0.002214       0.410620
       2.260000       0.055595       0.002227       0.412813
       2.270000       0.056130       0.002239       0.415464
       2.280000       0.056672       0.002252       0.418372
       2.290000       0.057221       0.002264       0.421392
       2.300000       0.057777       0.002277       0.424428
       2.310000       0.058340       0.002290       0.427383
       2.320000       0.058910       0.002302       0.430107
       2.330000       0.059488       0.002315       0.432398
       2.340000       0.060074       0.002328       0.434055
       2.350000       0.060667       0.002341       0.434978
       2.360000       0.061269       0.002353       0.435244
       2.370000       0.061879       0.002366       0.435124
       2.380000       0.062497       0.002379       0.435013
       2.390000       0.063124       0.002392       0.435322
       2.400000       0.063759       0.002405       0.436363
       2.410000       0.064404       0.002419       0.438291
       2.420000       0.065058       0.002432       0.441107
       2.430000       0.065721       0.002445       0.444721
       2.440000       0.066394       0.002458       0.449026
       2.450000       0.067077       0.002472       0.453967
       2.460000       0.067770       0.002485       0.459550
       2.470000       0.068473       0.002498       0.465814
       2.480000       0.069187       0.002512       0.472780
       2.490000       0.069911       0.002525       0.480422
       2.500000       0.070647       0.002539       0.488660
       2.510000       0.071395       0.002553       0.497395
       2.520000       0.072154       0.002566       0.506544
       2.530000       0.072925       0.002580       0.516082
       2.540000       0.073708       0.002594       0.526048
       2.550000       0.074504       0.002608       0.536528
       2.560000       0.075313       0.002622       0.547629
       2.570000       0.076136       0.002636       0.559446
       2.580000       0.076972       0.002650       0.572055
       2.590000       0.077822       0.002664       0.585506
       2.600000       0.078686       0.002678       0.599802
       2.610000       0.079566       0.002692       0.614861
       2.620000       0.080460       0.002706       0.630474
       2.630000       0.081370       0.002721       0.646257
       2.640000       0.082297       0.002735       0.661656
       2.650000       0.083240       0.002750       0.675972
       2.660000       0.084200       0.002764       0.688455
       2.670000       0.085177       0.002779       0.698422
       2.680000       0.086173       0.002794       0.705394
       2.690000       0.087187       0.002808       0.709205
       2.700000       0.088221       0.002823       0.710049
       2.710000       0.089274       0.002838       0.708441
       2.720000       0.090348       0.002853       0.705105
       2.730000       0.091442       0.002868       0.700836
       2.740000       0.092559       0.002883       0.696370
       2.750000       0.093697       0.002898       0.692294
       2.760000       0.094859       0.002913       0.688994
       2.770000       0.096045       0.002929       0.686647
       2.780000       0.097255       0.002944       0.685247
       2.790000       0.098491       0.002960       0.684660
       2.800000       0.099754       0.002975       0.684700
       2.810000       0.101043       0.002991       0.685190
       2.820000       0.102361       0.003007       0.685990
       2.830000       0.103708       0.003022       0.687005
       2.840000       0.105085       0.003038       0.688158
       2.850000       0.106494       0.003054       0.689367
       2.860000       0.107935       0.003070       0.690516
       2.870000       0.109410       0.003086       0.691446
       2.880000       0.110920       0.003103       0.691941
       2.890000       0.112466       0.003119       0.691728
       2.900000       0.114050       0.003135       0.690478
       2.910000       0.115673       0.003152       0.687839
       2.920000       0.117338       0.003168       0.683510
       2.930000       0.119044       0.003185       0.677337
       2.940000       0.120795       0.003202       0.669399
       2.950000       0.122592       0.003219       0.660048
       2.960000       0.124437       0.003236       0.649888
       2.970000       0.126333       0.003253       0.639691
       2.980000       0.128280       0.003270       0.630276
       2.990000       0.130283       0.003287       0.622376
       3.000000       0.132342       0.003305       0.616542
       3.010000       0.134462       0.003322       0.613083
       3.020000       0.136644       0.003340       0.612072
       3.030000       0.138891       0.003357       0.613382
       3.040000       0.141208       0.003375       0.616745
       3.050000       0.143596       0.003393       0.621796
       3.060000       0.146061       0.003411       0.628096
       3.070000       0.148605       0.003430       0.635138
       3.080000       0.151233       0.003448       0.642349
       3.090000       0.153950       0.003466       0.649109
       3.100000       0.156760       0.003485       0.654781
       3.110000       0.159668       0.003504       0.658777
       3.120000       0.162680       0.003522       0.660614
       3.130000       0.165802       0.003541       0.659969
       3.140000       0.169041       0.003561       0.656697
       3.150000       0.172403       0.003580       0.650824
       3.160000       0.175896       0.003599       0.642505
       3.170000       0.179528       0.003619       0.631978
       3.180000       0.183308       0.003639       0.619513
       3.190000       0.187246       0.003659       0.605404
       3.200000       0.191353       0.003679       0.589975
       3.210000       0.195640       0.003699       0.573598
       3.220000       0.200120       0.003719       0.556693
       3.230000       0.204807       0.003740       0.539712
       3.240000       0.209715       0.003761       0.523109
       3.250000       0.214863       0.003782       0.507310
       3.260000       0.220269       0.003803       0.492687
       3.270000       0.225952       0.003824       0.479535
       3.280000       0.231937       0.003846       0.468048
       3.290000       0.238248       0.003867       0.458321
       3.300000       0.244913       0.003889       0.450367
       3.310000       0.251965       0.003912       0.444167
       3.320000       0.259439       0.003934       0.439708
       3.330000       0.267373       0.003957       0.437016
       3.340000       0.275814       0.003980       0.436140
       3.350000       0.284810       0.004003       0.437117
       3.360000       0.294419       0.004027       0.439917
       3.370000       0.304705       0.004050       0.444414
       3.380000       0.315742       0.004075       0.450381
       3.390000       0.327612       0.004099       0.457535
       3.400000       0.340410       0.004124       0.465607
       3.410000       0.354244       0.004149       0.474425
       3.420000       0.369238       0.004174       0.483961
       3.430000       0.385531       0.004200       0.494321
       3.440000       0.403284       0.004227       0.505673
       3.450000       0.422677       0.004253       0.518148
       3.460000       0.443915       0.004280       0.531739
       3.470000       0.467226       0.004308       0.546235
       3.480000       0.492860       0.004336       0.561194
       3.490000       0.521086       0.004365       0.575947
       3.500000       0.552184       0.004394       0.589628
       3.510000       0.586423       0.004424       0.601230
       3.520000       0.624042       0.004455       0.609691
       3.530000       0.665196       0.004486       0.614020
       3.540000       0.709901       0.004518       0.613447
       3.550000       0.757944       0.004551       0.607571
       3.560000       0.808790       0.004585       0.596472
       3.570000       0.861482       0.004620       0.580749
       3.580000       0.914598       0.004656       0.561446
       3.590000       0.966300       0.004693       0.539881
       3.600000       1.014545       0.004732       0.517430
       3.610000       1.057460       0.004772       0.495334
       3.620000       1.093811       0.004814       0.474568
       3.630000       1.123403       0.004857       0.455796
       3.640000       1.147237       0.004903       0.439375
       3.650000       1.167342       0.004951       0.425411
       3.660000       1.186364       0.005001       0.413825
       3.670000       1.207083       0.005054       0.404428
       3.680000       1.232009       0.005110       0.396997
       3.690000       1.263124       0.005170       0.391349
       3.700000       1.301751       0.005233       0.387383
       3.710000       1.348487       0.005301       0.385101
       3.720000       1.403144       0.005372       0.384582
       3.730000       1.464682       0.005449       0.385941
       3.740000       1.531149       0.005529       0.389281
       3.750000       1.599714       0.005614       0.394647
       3.760000       1.666876       0.005703       0.402007
       3.770000       1.728937       0.005795       0.411237
       3.780000       1.782688       0.005890       0.422142
       3.790000       1.826138       0.005987       0.434480
       3.800000       1.858972       0.006086       0.448003
       3.810000       1.882532       0.006185       0.462493
       3.820000       1.899309       0.006283       0.477770
       3.830000       1.912205       0.006377       0.493678
       3.840000       1.923909       0.006465       0.510033
       3.850000       1.936587       0.006544       0.526555
       3.860000       1.951910       0.006613       0.542816
       3.870000       1.971242       0.006671       0.558226
       3.880000       1.995780       0.006720       0.572080
       3.890000       2.026503       0.006762       0.583658
       3.900000       2.063941       0.006801       0.592347
       3.910000       2.107899       0.006840       0.597748
       3.920000       2.157278       0.006881       0.599743
       3.930000       2.210118       0.006927       0.598499
       3.940000       2.263887       0.006978       0.594434
       3.950000       2.315936       0.007031       0.588124
       3.960000       2.363990       0.007084       0.580192
       3.970000       2.406501       0.007134       0.571213
       3.980000       2.442819       0.007178       0.561645
       3.990000       2.473164       0.007215       0.551819
       4.000000       2.498440       0.007242       0.541972
       4.010000       2.519956       0.007261       0.532300
       4.020000       2.539077       0.007274       0.523017
       4.030000       2.556888       0.007283       0.514386
       4.040000       2.573965       0.007292       0.506737
       4.050000       2.590308       0.007304       0.500456
       4.060000       2.605423       0.007322       0.495961
       4.070000       2.618469       0.007346       0.493650
       4.080000       2.628367       0.007379       0.493857
       4.090000       2.633928       0.007420       0.496804
       4.100000       2.634087       0.007470       0.502574
       4.110000       2.628296       0.007530       0.511096
       4.120000       2.616958       0.007597       0.522147
       4.130000       2.601627       0.007673       0.535366
       4.140000       2.584805       0.007756       0.550267
       4.150000       2.569349       0.007845       0.566244
       4.160000       2.557740       0.007939       0.582579
       4.170000       2.551485       0.008035       0.598456
       4.180000       2.550839       0.008130       0.612994
       4.190000       2.554840       0.008223       0.625316
       4.200000       2.561581       0.008312       0.634643
       4.210000       2.568572       0.008397       0.640394
       4.220000       2.573132       0.008477       0.642276
       4.230000       2.572779       0.008555       0.640355
       4.240000       2.565633       0.008633       0.635072
       4.250000       2.550780       0.008714       0.627198
       4.260000       2.528529       0.008802       0.617747
       4.270000       2.500458       0.008899       0.607846
       4.280000       2.469240       0.009007       0.598610
       4.290000       2.438242       0.009128       0.591046
       4.300000       2.410996       0.009264       0.585979
       4.310000       2.390672       0.009413       0.584021
       4.320000       2.379664       0.009575       0.585564
       4.330000       2.379393       0.009748       0.590797
       4.340000       2.390313       0.009929       0.599737
       4.350000       2.412093       0.010115       0.612270
       4.360000       2.443872       0.010305       0.628188
       4.370000       2.484494       0.010498       0.647220
       4.380000       2.532614       0.010697       0.669030
       4.390000       2.586689       0.010906       0.693190
       4.400000       2.644927       0.011129       0.719119
       4.410000       2.705379       0.011373       0.746030
       4.420000       2.766268       0.011644       0.772917
       4.430000       2.826495       0.011946       0.798606
       4.440000       2.886067       0.012285       0.821905
       4.450000       2.946174       0.012663       0.841804
       4.460000       3.008769       0.013082       0.857684
       4.470000       3.075783       0.013541       0.869465
       4.480000       3.148268       0.014038       0.877622
       4.490000       3.225762       0.014567       0.883073
       4.500000       3.306032       0.015117       0.886980
       4.510000       3.385217       0.015679       0.890527
       4.520000       3.458299       0.016239       0.894740
       4.530000       3.519790       0.016783       0.900358
       4.540000       3.564536       0.017304       0.907768
       4.550000       3.588547       0.017796       0.916961
       4.560000       3.589702       0.018257       0.927515
       4.570000       3.568159       0.018688       0.938613
       4.580000       3.526305       0.019090       0.949094
       4.590000       3.468210       0.019455       0.957569
       4.600000       3.398776       0.019774       0.962591
       4.610000       3.322903       0.020030       0.962877
       4.620000       3.244992       0.020213       0.957523
       4.630000       3.168838       0.020316       0.946146
       4.640000       3.097784       0.020347       0.928901
       4.650000       3.034842       0.020325       0.906366
       4.660000       2.982623       0.020280       0.879354
       4.670000       2.943061       0.020244       0.848726
       4.680000       2.917070       0.020247       0.815284
       4.690000       2.904277       0.020317       0.779753
       4.700000       2.902964       0.020471       0.742821
       4.710000       2.910269       0.020719       0.705195
       4.720000       2.922673       0.021064       0.667613
       4.730000       2.936692       0.021498       0.630802
       4.740000       2.949582       0.022004       0.595403
       4.750000       2.959833       0.022555       0.561902
       4.760000       2.967277       0.023114       0.530598
       4.770000       2.972841       0.023633       0.501622
       4.780000       2.978102       0.024064       0.474990
       4.790000       2.984813       0.024362       0.450662
       4.800000       2.994490       0.024499       0.428586
       4.810000       3.008027       0.024465       0.408715
       4.820000       3.025340       0.024278       0.390998
       4.830000       3.045083       0.023972       0.375367
       4.840000       3.064600       0.023595       0.361715
       4.850000       3.080253       0.023194       0.349892
       4.860000       3.088184       0.022812       0.339702
       4.870000       3.085358       0.022482       0.330912
       4.880000       3.070508       0.022227       0.323276
       4.890000       3.044585       0.022062       0.316560
       4.900000       3.010527       0.021996       0.310577
       4.910000       2.972487       0.022031       0.305211
       4.920000       2.934887       0.022170       0.300426
       4.930000       2.901682       0.022413       0.296243
       4.940000       2.875976       0.022758       0.292712
       4.950000       2.859940       0.023207       0.289874
       4.960000       2.854850       0.023761       0.287731
       4.970000       2.861085       0.024421       0.286237
       4.980000       2.878076       0.025186       0.285304
       4.990000       2.904271       0.026046       0.284827
       5.000000       2.937267       0.026985       0.284717
       5.010000       2.974190       0.027973       0.284925
       5.020000       3.012292       0.028967       0.285461
       5.030000       3.049595       0.029915       0.286378
       5.040000       3.085331       0.030757       0.287749
       5.050000       3.120022       0.031443       0.289630
       5.060000       3.155201       0.031939       0.292043
       5.070000       3.192924       0.032241       0.294967
       5.080000       3.235247       0.032371       0.298356
       5.090000       3.283774       0.032376       0.302150
       5.100000       3.339277       0.032313       0.306288
       5.110000       3.401420       0.032240       0.310705
       5.120000       3.468609       0.032200       0.315304
       5.130000       3.538058       0.032222       0.319941
       5.140000       3.606085       0.032316       0.324413
       5.150000       3.668590       0.032481       0.328479
       5.160000       3.721609       0.032703       0.331893
       5.170000       3.761855       0.032963       0.334447
       5.180000       3.787197       0.033238       0.336002
       5.190000       3.797032       0.033510       0.336501
       5.200000       3.792449       0.033764       0.335961
       5.210000       3.776107       0.033996       0.334468
       5.220000       3.751784       0.034215       0.332168
       5.230000       3.723667       0.034444       0.329258
       5.240000       3.695561       0.034717       0.325984
       5.250000       3.670182       0.035070       0.322619
       5.260000       3.648756       0.035542       0.319430
       5.270000       3.631023       0.036159       0.316644
       5.280000       3.615703       0.036936       0.314414
       5.290000       3.601269       0.037870       0.312808
       5.300000       3.586754       0.038940       0.311803
       5.310000       3.572275       0.040106       0.311319
       5.320000       3.559067       0.041310       0.311254
       5.330000       3.549078       0.042484       0.311531
       5.340000       3.544373       0.043551       0.312130
       5.350000       3.546597       0.044440       0.313106
       5.360000       3.556669       0.045093       0.314575
       5.370000       3.574723       0.045468       0.316684
       5.380000       3.600292       0.045545       0.319586
       5.390000       3.632619       0.045330       0.323408
       5.400000       3.671015       0.044858       0.328238
