       1.420000     -14.997755       4.577307       1.943003
       1.430000     -15.155839       4.610083       1.943621
       1.440000     -15.239258       4.650958       1.943811
       1.450000     -15.248527       4.699766       1.943576
       1.460000     -15.189506       4.755652       1.942954
       1.470000     -15.071404       4.817312       1.942017
       1.480000     -14.904816       4.883197       1.940874
       1.490000     -14.700210       4.951661       1.939657
       1.500000     -14.467044       5.021060       1.938512
       1.510000     -14.213386       5.089839       1.937581
       1.520000     -13.945871       5.156634       1.936987
       1.530000     -13.669819       5.220402       1.936816
       1.540000     -13.389416       5.280582       1.937111
       1.550000     -13.107892       5.337211       1.937872
       1.560000     -12.827687       5.390923       1.939058
       1.570000     -12.550599       5.442765       1.940605
       1.580000     -12.277918       5.493815       1.942430
       1.590000     -12.010529       5.544726       1.944445
       1.600000     -11.749013       5.595363       1.946554
       1.610000     -11.493713       5.644664       1.948662
       1.620000     -11.244801       5.690774       1.950667
       1.630000     -11.002318       5.731403       1.952460
       1.640000     -10.766218       5.764318       1.953925
       1.650000     -10.536388       5.787838       1.954942
       1.660000     -10.312675       5.801162       1.955388
       1.670000     -10.094897       5.804392       1.955159
       1.680000      -9.882862       5.798145       1.954186
       1.690000      -9.676373       5.782866       1.952463
       1.700000      -9.475239       5.758085       1.950069
       1.710000      -9.279283       5.721997       1.947177
       1.720000      -9.088347       5.671614       1.944036
       1.730000      -8.902298       5.603591       1.940930
       1.740000      -8.721035       5.515547       1.938122
       1.750000      -8.544491       5.407510       1.935804
       1.760000      -8.372629       5.282939       1.934076
       1.770000      -8.205444       5.148801       1.932947
       1.780000      -8.042938       5.014457       1.932360
       1.790000      -7.885101       4.889657       1.932227
       1.800000      -7.731876       4.782421       1.932459
       1.810000      -7.583122       4.697628       1.932985
       1.820000      -7.438592       4.636745       1.933761
       1.830000      -7.297937       4.598525       1.934767
       1.840000      -7.160744       4.580166       1.935991
       1.850000      -7.026598       4.578365       1.937416
       1.860000      -6.895147       4.589975       1.939010
       1.870000      -6.766151       4.612151       1.940727
       1.880000      -6.639505       4.642144       1.942503
       1.890000      -6.515224       4.676942       1.944264
       1.900000      -6.393406       4.712988       1.945936
       1.910000      -6.274176       4.746086       1.947452
       1.920000      -6.157632       4.771457       1.948765
       1.930000      -6.043820       4.783759       1.949858
       1.940000      -5.932743       4.776914       1.950750
       1.950000      -5.824404       4.743758       1.951501
       1.960000      -5.718855       4.675762       1.952204
       1.970000      -5.616209       4.563192       1.952961
       1.980000      -5.516607       4.396048       1.953864
       1.990000      -5.420165       4.165870       1.954975
       2.000000      -5.326935       3.868149       1.956317
       2.010000      -5.236919       3.504764       1.957875
       2.020000      -5.150139       3.085581       1.959605
       2.030000      -5.066700       2.628402       1.961445
       2.040000      -4.986823       2.156879       1.963327
       2.050000      -4.910804       1.696783       1.965185
       2.060000      -4.838949       1.271733       1.966961
       2.070000      -4.771528       0.899751       1.968612
       2.080000      -4.708791       0.591542       1.970114
       2.090000      -4.651016       0.350584       1.971463
       2.100000      -4.598545       0.174462       1.972675
       2.110000      -4.551782       0.056680       1.973780
       2.120000      -4.511160      -0.011574       1.974811
       2.130000      -4.477112      -0.039943       1.975791
       2.140000      -4.450079      -0.037803       1.976724
       2.150000      -4.430511      -0.013547       1.977593
       2.160000      -4.418831       0.025744       1.978366
       2.170000      -4.415353       0.074337       1.979013
       2.180000      -4.420172       0.127721       1.979517
       2.190000      -4.433035       0.182486       1.979890
       2.200000      -4.453208       0.236291       1.980173
       2.210000      -4.479325       0.287882       1.980428
       2.220000      -4.509280       0.337061       1.980724
       2.230000      -4.540236       0.384527       1.981126
       2.240000      -4.568813       0.431568       1.981679
       2.250000      -4.591486       0.479686       1.982407
       2.260000      -4.605100       0.530251       1.983306
