  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       1.370000      -5.522033       0.272875       1.921061
       1.380000      -5.611257       0.331607       1.920813
       1.390000      -5.694505       0.389149       1.920343
       1.400000      -5.764910       0.443224       1.919605
       1.410000      -5.814836       0.491495       1.918624
       1.420000      -5.837922       0.531801       1.917493
       1.430000      -5.830579       0.562446       1.916350
       1.440000      -5.792464       0.582493       1.915334
       1.450000      -5.726030       0.592014       1.914538
       1.460000      -5.635598       0.592171       1.913990
       1.470000      -5.526376       0.585099       1.913643
       1.480000      -5.403691       0.573637       1.913393
       1.490000      -5.272487       0.560995       1.913114
       1.500000      -5.137047       0.550453       1.912687
       1.510000      -5.000850       0.545039       1.912040
       1.520000      -4.866481       0.547190       1.911160
       1.530000      -4.735566       0.558399       1.910106
       1.540000      -4.608762       0.578987       1.908986
       1.550000      -4.485830       0.608069       1.907940
       1.560000      -4.365859       0.643726       1.907107
       1.570000      -4.247605       0.683299       1.906606
       1.580000      -4.129861       0.723726       1.906524
       1.590000      -4.011739       0.761895       1.906914
       1.600000      -3.892797       0.795009       1.907798
       1.610000      -3.773014       0.820977       1.909173
       1.620000      -3.652661       0.838806       1.911015
       1.630000      -3.532166       0.848877       1.913285
       1.640000      -3.411990       0.852958       1.915932
       1.650000      -3.292558       0.853828       1.918899
       1.660000      -3.174228       0.854554       1.922120
       1.670000      -3.057291       0.857660       1.925531
       1.680000      -2.941989       0.864479       1.929066
       1.690000      -2.828531       0.874932       1.932660
       1.700000      -2.717114       0.887717       1.936245
       1.710000      -2.607941       0.900796       1.939754
       1.720000      -2.501228       0.911963       1.943116
       1.730000      -2.397213       0.919310       1.946256
       1.740000      -2.296152       0.921493       1.949099
       1.750000      -2.198304       0.917758       1.951576
       1.760000      -2.103894       0.907813       1.953632
       1.770000      -2.013060       0.891732       1.955245
       1.780000      -1.925790       0.869993       1.956434
       1.790000      -1.841867       0.843655       1.957267
       1.800000      -1.760861       0.814499       1.957860
       1.810000      -1.682179       0.784931       1.958358
       1.820000      -1.605184       0.757582       1.958905
       1.830000      -1.529328       0.734701       1.959614
       1.840000      -1.454279       0.717593       1.960550
       1.850000      -1.379980       0.706282       1.961715
       1.860000      -1.306638       0.699515       1.963060
       1.870000      -1.234656       0.695065       1.964502
       1.880000      -1.164510       0.690256       1.965946
       1.890000      -1.096611       0.682553       1.967310
       1.900000      -1.031165       0.670089       1.968540
       1.910000      -0.968110       0.651942       1.969619
       1.920000      -0.907146       0.628077       1.970566
       1.930000      -0.847890       0.598971       1.971429
       1.940000      -0.790102       0.565114       1.972262
       1.950000      -0.733896       0.526688       1.973106
       1.960000      -0.679838       0.483622       1.973971
       1.970000      -0.628907       0.436026       1.974818
       1.980000      -0.582294       0.384776       1.975570
       1.990000      -0.541124       0.331920       1.976126
       2.000000      -0.506131       0.280650       1.976377
       2.010000      -0.477411       0.234803       1.976229
       2.020000      -0.454329       0.198073       1.975602
       2.030000      -0.435662       0.173267       1.974430
       2.040000      -0.419955       0.161847       1.972645
       2.050000      -0.405961       0.163869       1.970186
       2.060000      -0.392975       0.178233       1.967000
       2.070000      -0.380946       0.203080       1.963072
       2.080000      -0.370316       0.236217       1.958434
       2.090000      -0.361684       0.275463       1.953183
       2.100000      -0.355451       0.318875       1.947479
       2.110000      -0.351605       0.364857       1.941540
       2.120000      -0.349757       0.412155       1.935634
       2.130000      -0.349411       0.459756       1.930045
       2.140000      -0.350303       0.506760       1.925039
       2.150000      -0.352619       0.552261       1.920826
       2.160000      -0.356990       0.595289       1.917530
       2.170000      -0.364300       0.634840       1.915192
       2.180000      -0.375485       0.669993       1.913786
       2.190000      -0.391425       0.700082       1.913245
       2.200000      -0.412983       0.724890       1.913492
       2.210000      -0.441079       0.744787       1.914451
       2.220000      -0.476698       0.760744       1.916047
       2.230000      -0.520815       0.774155       1.918197
       2.240000      -0.574273       0.786495       1.920798
       2.250000      -0.637674       0.798929       1.923720
       2.260000      -0.711259       0.812013       1.926812
       2.270000      -0.794740       0.825594       1.929911
       2.280000      -0.887067       0.838922       1.932862
       2.290000      -0.986190       0.850881       1.935529
       2.300000      -1.088929       0.860276       1.937808
       2.310000      -1.191047       0.866094       1.939631
       2.320000      -1.287596       0.867724       1.940968
       2.330000      -1.373529       0.865125       1.941818
       2.340000      -1.444455       0.858924       1.942209
       2.350000      -1.497306       0.850385       1.942194
       2.360000      -1.530715       0.841221       1.941849
       2.370000      -1.544987       0.833268       1.941264
       2.380000      -1.541767       0.828090       1.940532
       2.390000      -1.523538       0.826680       1.939730
       2.400000      -1.493144       0.829353       1.938902
       2.410000      -1.453425       0.835854       1.938049
       2.420000      -1.406987       0.845592       1.937116
       2.430000      -1.356106       0.857897       1.935999
       2.440000      -1.302698       0.872184       1.934564
       2.450000      -1.248346       0.887991       1.932660
       2.460000      -1.194325       0.904931       1.930153
       2.470000      -1.141628       0.922629       1.926948
       2.480000      -1.090956       0.940732       1.923008
       2.490000      -1.042700       0.958994       1.918370
       2.500000      -0.996918       0.977398       1.913158
       2.510000      -0.953339       0.996247       1.907573
       2.520000      -0.911420       1.016130       1.901889
       2.530000      -0.870463       1.037790       1.896419
       2.540000      -0.829763       1.061910       1.891470
       2.550000      -0.788747       1.088930       1.887295
       2.560000      -0.747053       1.118948       1.884052
       2.570000      -0.704553       1.151719       1.881784
       2.580000      -0.661309       1.186718       1.880431
       2.590000      -0.617512       1.223229       1.879861
       2.600000      -0.573422       1.260414       1.879905
       2.610000      -0.529319       1.297363       1.880399
       2.620000      -0.485478       1.333118       1.881202
       2.630000      -0.442153       1.366700       1.882206
       2.640000      -0.399570       1.397139       1.883336
       2.650000      -0.357932       1.423553       1.884546
