  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       1.510000       4.352112       1.228801       0.066240
       1.520000       4.022821       1.240703       0.065822
       1.530000       3.712987       1.256563       0.065912
       1.540000       3.425993       1.275352       0.066495
       1.550000       3.163265       1.295580       0.067543
       1.560000       2.924771       1.315699       0.069002
       1.570000       2.709512       1.334565       0.070798
       1.580000       2.515921       1.351805       0.072824
       1.590000       2.342163       1.367960       0.074945
       1.600000       2.186331       1.384318       0.077008
       1.610000       2.046573       1.402503       0.078852
       1.620000       1.921157       1.423980       0.080333
       1.630000       1.808506       1.449615       0.081338
       1.640000       1.707211       1.479380       0.081798
       1.650000       1.616026       1.512260       0.081685
       1.660000       1.533857       1.546369       0.081011
       1.670000       1.459753       1.579304       0.079821
       1.680000       1.392891       1.608698       0.078189
       1.690000       1.332565       1.632845       0.076215
       1.700000       1.278170       1.651182       0.074016
       1.710000       1.229198       1.664420       0.071725
       1.720000       1.185217       1.674278       0.069470
       1.730000       1.145867       1.682940       0.067373
       1.740000       1.110843       1.692508       0.065534
       1.750000       1.079887       1.704644       0.064031
       1.760000       1.052773       1.720473       0.062919
       1.770000       1.029294       1.740675       0.062235
       1.780000       1.009241       1.765617       0.061998
       1.790000       0.992388       1.795408       0.062217
       1.800000       0.978467       1.829833       0.062890
       1.810000       0.967153       1.868243       0.064001
       1.820000       0.958060       1.909511       0.065519
       1.830000       0.950751       1.952121       0.067394
       1.840000       0.944788       1.994393       0.069548
       1.850000       0.939794       2.034776       0.071870
       1.860000       0.935526       2.072135       0.074222
       1.870000       0.931925       2.106007       0.076446
       1.880000       0.929122       2.136786       0.078381
       1.890000       0.927396       2.165780       0.079892
       1.900000       0.927095       2.195050       0.080890
       1.910000       0.928539       2.227023       0.081349
       1.920000       0.931940       2.263955       0.081308
       1.930000       0.937351       2.307441       0.080851
       1.940000       0.944673       2.358105       0.080089
       1.950000       0.953706       2.415572       0.079126
       1.960000       0.964253       2.478718       0.078050
       1.970000       0.976221       2.546111       0.076917
       1.980000       0.989675       2.616513       0.075767
       1.990000       1.004833       2.689296       0.074630
       2.000000       1.021963       2.764660       0.073543
       2.010000       1.041270       2.843628       0.072556
       2.020000       1.062788       2.927876       0.071728
       2.030000       1.086368       3.019474       0.071118
       2.040000       1.111740       3.120590       0.070771
       2.050000       1.138649       3.233213       0.070713
       2.060000       1.166984       3.358934       0.070935
       2.070000       1.196826       3.498828       0.071394
       2.080000       1.228385       3.653437       0.072018
       2.090000       1.261853       3.822775       0.072712
       2.100000       1.297254       4.006173       0.073381
       2.110000       1.334382       4.201828       0.073946
       2.120000       1.372867       4.406049       0.074371
       2.130000       1.412317       4.612394       0.074674
       2.140000       1.452457       4.811101       0.074920
       2.150000       1.493161       4.989234       0.075206
       2.160000       1.534370       5.131873       0.075639
       2.170000       1.575960       5.224379       0.076312
       2.180000       1.617659       5.255286       0.077290
       2.190000       1.659071       5.218935       0.078597
       2.200000       1.699755       5.116828       0.080215
       2.210000       1.739278       4.957173       0.082084
       2.220000       1.777170       4.752855       0.084108
       2.230000       1.812794       4.518707       0.086168
       2.240000       1.845214       4.268998       0.088141
       2.250000       1.873116       4.015731       0.089918
       2.260000       1.894790       3.767887       0.091423
       2.270000       1.908189       3.531509       0.092619
       2.280000       1.911068       3.310287       0.093497
       2.290000       1.901233       3.106330       0.094076
       2.300000       1.876894       2.920795       0.094398
       2.310000       1.837060       2.754258       0.094531
       2.320000       1.781889       2.606799       0.094570
       2.330000       1.712852       2.477938       0.094639
       2.340000       1.632631       2.366531       0.094872
       2.350000       1.544718       2.270718       0.095406
       2.360000       1.452847       2.187969       0.096364
       2.370000       1.360445       2.115252       0.097841
       2.380000       1.270253       2.049311       0.099906
       2.390000       1.184188       1.987045       0.102586
       2.400000       1.103393       1.925889       0.105869
       2.410000       1.028406       1.864134       0.109696
       2.420000       0.959349       1.801095       0.113957
       2.430000       0.896104       1.737097       0.118482
       2.440000       0.838429       1.673273       0.123050
       2.450000       0.786035       1.611223       0.127401
       2.460000       0.738610       1.552624       0.131267
       2.470000       0.695827       1.498903       0.134420
       2.480000       0.657337       1.451011       0.136721
       2.490000       0.622767       1.409338       0.138149
       2.500000       0.591723       1.373731       0.138809
       2.510000       0.563799       1.343598       0.138902
       2.520000       0.538596       1.318088       0.138679
       2.530000       0.515746       1.296320       0.138386
       2.540000       0.494934       1.277614       0.138213
       2.550000       0.475919       1.261684       0.138270
       2.560000       0.458536       1.248710       0.138575
       2.570000       0.442692       1.239282       0.139060
       2.580000       0.428343       1.234252       0.139596
       2.590000       0.415468       1.234559       0.140024
       2.600000       0.404059       1.241090       0.140185
       2.610000       0.394101       1.254590       0.139949
       2.620000       0.385574       1.275618       0.139228
       2.630000       0.378443       1.304521       0.137997
       2.640000       0.372660       1.341416       0.136298
       2.650000       0.368156       1.386163       0.134243
       2.660000       0.364839       1.438350       0.132009
       2.670000       0.362584       1.497314       0.129809
       2.680000       0.361227       1.562225       0.127864
       2.690000       0.360570       1.632266       0.126368
       2.700000       0.360380       1.706872       0.125474
       2.710000       0.360407       1.785960       0.125279
       2.720000       0.360403       1.870042       0.125826
       2.730000       0.360148       1.960132       0.127105
       2.740000       0.359483       2.057406       0.129060
       2.750000       0.358319       2.162724       0.131598
       2.760000       0.356645       2.276100       0.134589
       2.770000       0.354510       2.396289       0.137879
       2.780000       0.351994       2.520571       0.141300
       2.790000       0.349192       2.644829       0.144681
       2.800000       0.346214       2.763889       0.147861
       2.810000       0.343191       2.872038       0.150699
       2.820000       0.340281       2.963549       0.153081
       2.830000       0.337652       3.033071       0.154929
       2.840000       0.335453       3.075904       0.156197
       2.850000       0.333778       3.088262       0.156885
       2.860000       0.332639       3.067655       0.157036
       2.870000       0.331964       3.013401       0.156730
       2.880000       0.331622       2.927090       0.156079
       2.890000       0.331464       2.812756       0.155202
       2.900000       0.331380       2.676551       0.154221
       2.910000       0.331336       2.525925       0.153237
       2.920000       0.331386       2.368559       0.152337
       2.930000       0.331645       2.211372       0.151588
       2.940000       0.332244       2.059877       0.151045
       2.950000       0.333275       1.917937       0.150739
       2.960000       0.334756       1.787857       0.150675
       2.970000       0.336634       1.670660       0.150827
       2.980000       0.338810       1.566437       0.151136
       2.990000       0.341197       1.474668       0.151528
       3.000000       0.343777       1.394470       0.151925
       3.010000       0.346631       1.324765       0.152264
       3.020000       0.349942       1.264366       0.152506
       3.030000       0.353949       1.212013       0.152634
       3.040000       0.358893       1.166406       0.152657
       3.050000       0.364956       1.126256       0.152600
       3.060000       0.372231       1.090372       0.152501
       3.070000       0.380701       1.057755       0.152407
       3.080000       0.390251       1.027670       0.152366
       3.090000       0.400694       0.999670       0.152428
       3.100000       0.411818       0.973564       0.152641
       3.110000       0.423431       0.949351       0.153048
       3.120000       0.435392       0.927115       0.153682
       3.130000       0.447600       0.906918       0.154561
       3.140000       0.459944       0.888702       0.155673
       3.150000       0.472238       0.872242       0.156973
       3.160000       0.484163       0.857164       0.158378
       3.170000       0.495265       0.843024       0.159775
       3.180000       0.504985       0.829402       0.161037
       3.190000       0.512705       0.815982       0.162047
       3.200000       0.517806       0.802557       0.162726
       3.210000       0.519708       0.788993       0.163059
       3.220000       0.517937       0.775181       0.163104
       3.230000       0.512210       0.761030       0.162980
       3.240000       0.502524       0.746503       0.162842
       3.250000       0.489225       0.731686       0.162839
       3.260000       0.472994       0.716839       0.163079
       3.270000       0.454759       0.702377       0.163606
       3.280000       0.435548       0.688799       0.164396
       3.290000       0.416325       0.676584       0.165359
       3.300000       0.397874       0.666092       0.166360
       3.310000       0.380728       0.657528       0.167236
       3.320000       0.365163       0.650937       0.167815
       3.330000       0.351222       0.646256       0.167946
       3.340000       0.338767       0.643378       0.167533
       3.350000       0.327541       0.642216       0.166564
       3.360000       0.317234       0.642739       0.165120
       3.370000       0.307541       0.644966       0.163352
       3.380000       0.298206       0.648942       0.161449
       3.390000       0.289045       0.654699       0.159589
       3.400000       0.279951       0.662243       0.157900
       3.410000       0.270887       0.671561       0.156453
       3.420000       0.261878       0.682664       0.155253
       3.430000       0.252997       0.695645       0.154261
       3.440000       0.244357       0.710702       0.153405
       3.450000       0.236089       0.728137       0.152600
       3.460000       0.228322       0.748288       0.151760
       3.470000       0.221155       0.771442       0.150814
       3.480000       0.214645       0.797740       0.149729
       3.490000       0.208794       0.827115       0.148524
       3.500000       0.203556       0.859269       0.147273
       3.510000       0.198844       0.893705       0.146101
       3.520000       0.194548       0.929796       0.145154
       3.530000       0.190562       0.966880       0.144575
       3.540000       0.186800       1.004362       0.144482
       3.550000       0.183215       1.041777       0.144948
       3.560000       0.179798       1.078809       0.146001
       3.570000       0.176576       1.115276       0.147621
       3.580000       0.173594       1.151096       0.149744
       3.590000       0.170904       1.186266       0.152269
       3.600000       0.168556       1.220835       0.155065
       3.610000       0.166588       1.254855       0.157985
       3.620000       0.165027       1.288315       0.160882
       3.630000       0.163881       1.321092       0.163636
       3.640000       0.163139       1.352938       0.166172
       3.650000       0.162772       1.383509       0.168464
       3.660000       0.162735       1.412373       0.170518
       3.670000       0.162966       1.438992       0.172343
       3.680000       0.163395       1.462651       0.173918
       3.690000       0.163947       1.482393       0.175177
       3.700000       0.164549       1.496988       0.176016
       3.710000       0.165134       1.504984       0.176324
       3.720000       0.165645       1.504827       0.176029
       3.730000       0.166038       1.495065       0.175149
       3.740000       0.166285       1.474614       0.173803
       3.750000       0.166376       1.443055       0.172202
       3.760000       0.166319       1.400868       0.170604
       3.770000       0.166143       1.349503       0.169265
       3.780000       0.165885       1.291219       0.168392
       3.790000       0.165585       1.228723       0.168122
       3.800000       0.165270       1.164722       0.168507
       3.810000       0.164947       1.101564       0.169518
       3.820000       0.164611       1.041031       0.171060
       3.830000       0.164250       0.984319       0.172988
       3.840000       0.163862       0.932121       0.175120
       3.850000       0.163466       0.884770       0.177258
       3.860000       0.163111       0.842358       0.179203
       3.870000       0.162874       0.804830       0.180776
       3.880000       0.162846       0.772021       0.181847
       3.890000       0.163125       0.743674       0.182353
       3.900000       0.163797       0.719441       0.182313
       3.910000       0.164930       0.698890       0.181817
       3.920000       0.166562       0.681544       0.180994
       3.930000       0.168693       0.666917       0.179982
       3.940000       0.171287       0.654568       0.178897
       3.950000       0.174259       0.644120       0.177830
       3.960000       0.177480       0.635257       0.176858
       3.970000       0.180787       0.627704       0.176065
       3.980000       0.184002       0.621209       0.175555
       3.990000       0.186968       0.615553       0.175452
       4.000000       0.189585       0.610599       0.175890
       4.010000       0.191837       0.606331       0.176983
       4.020000       0.193796       0.602880       0.178813
       4.030000       0.195603       0.600491       0.181406
       4.040000       0.197433       0.599459       0.184728
       4.050000       0.199452       0.600036       0.188678
       4.060000       0.201789       0.602358       0.193095
       4.070000       0.204512       0.606414       0.197762
       4.080000       0.207633       0.612042       0.202422
       4.090000       0.211104       0.618969       0.206808
       4.100000       0.214838       0.626861       0.210679
       4.110000       0.218727       0.635368       0.213862
       4.120000       0.222657       0.644158       0.216277
       4.130000       0.226523       0.652934       0.217939
       4.140000       0.230228       0.661434       0.218933
       4.150000       0.233673       0.669424       0.219379
       4.160000       0.236748       0.676692       0.219395
       4.170000       0.239344       0.683051       0.219086
       4.180000       0.241367       0.688371       0.218539
       4.190000       0.242767       0.692629       0.217834
       4.200000       0.243556       0.695962       0.217044
       4.210000       0.243809       0.698702       0.216237
       4.220000       0.243643       0.701359       0.215471
       4.230000       0.243197       0.704559       0.214789
       4.240000       0.242613       0.708957       0.214218
       4.250000       0.242018       0.715153       0.213761
       4.260000       0.241524       0.723640       0.213392
       4.270000       0.241221       0.734786       0.213063
       4.280000       0.241180       0.748850       0.212721
       4.290000       0.241453       0.765996       0.212332
       4.300000       0.242075       0.786298       0.211901
       4.310000       0.243071       0.809725       0.211474
       4.320000       0.244458       0.836108       0.211135
       4.330000       0.246239       0.865098       0.210992
       4.340000       0.248404       0.896142       0.211157
       4.350000       0.250930       0.928487       0.211739
       4.360000       0.253795       0.961259       0.212838
       4.370000       0.256993       0.993602       0.214537
       4.380000       0.260552       1.024859       0.216899
       4.390000       0.264529       1.054691       0.219950
       4.400000       0.269007       1.083090       0.223674
       4.410000       0.274064       1.110226       0.227998
       4.420000       0.279757       1.136220       0.232788
       4.430000       0.286109       1.160898       0.237854
       4.440000       0.293108       1.183656       0.242973
       4.450000       0.300723       1.203483       0.247913
       4.460000       0.308926       1.219157       0.252467
       4.470000       0.317704       1.229576       0.256485
       4.480000       0.327070       1.234101       0.259889
       4.490000       0.337044       1.232784       0.262675
       4.500000       0.347622       1.226394       0.264902
       4.510000       0.358735       1.216243       0.266659
       4.520000       0.370211       1.203910       0.268046
       4.530000       0.381763       1.190962       0.269149
       4.540000       0.393012       1.178753       0.270046
       4.550000       0.403549       1.168296       0.270805
       4.560000       0.413028       1.160234       0.271489
       4.570000       0.421256       1.154858       0.272147
       4.580000       0.428234       1.152163       0.272807
       4.590000       0.434138       1.151919       0.273470
       4.600000       0.439240       1.153732       0.274119
       4.610000       0.443795       1.157098       0.274734
       4.620000       0.447943       1.161442       0.275297
       4.630000       0.451641       1.166150       0.275797
       4.640000       0.454668       1.170594       0.276205
       4.650000       0.456688       1.174156       0.276465
       4.660000       0.457377       1.176256       0.276486
       4.670000       0.456560       1.176378       0.276156
       4.680000       0.454309       1.174110       0.275373
       4.690000       0.450957       1.169165       0.274072
       4.700000       0.447013       1.161374       0.272251
       4.710000       0.443044       1.150646       0.269976
       4.720000       0.439550       1.136889       0.267381
       4.730000       0.436895       1.119976       0.264644
       4.740000       0.435296       1.099776       0.261969
       4.750000       0.434856       1.076289       0.259540
       4.760000       0.435617       1.049816       0.257496
       4.770000       0.437611       1.021057       0.255893
       4.780000       0.440875       0.991081       0.254696
       4.790000       0.445443       0.961170       0.253785
       4.800000       0.451323       0.932607       0.252985
       4.810000       0.458475       0.906511       0.252104
       4.820000       0.466807       0.883745       0.250980
       4.830000       0.476212       0.864923       0.249519
       4.840000       0.486615       0.850459       0.247703
       4.850000       0.498042       0.840636       0.245590
       4.860000       0.510649       0.835668       0.243285
       4.870000       0.524722       0.835728       0.240911
       4.880000       0.540618       0.840968       0.238586
       4.890000       0.558694       0.851511       0.236410
       4.900000       0.579221       0.867434       0.234461
       4.910000       0.602324       0.888735       0.232798
       4.920000       0.627952       0.915289       0.231460
       4.930000       0.655881       0.946800       0.230474
       4.940000       0.685760       0.982766       0.229855
       4.950000       0.717165       1.022457       0.229613
       4.960000       0.749670       1.064920       0.229757
       4.970000       0.782883       1.109029       0.230293
       4.980000       0.816444       1.153568       0.231219
       4.990000       0.849989       1.197365       0.232517
       5.000000       0.883115       1.239431       0.234144
       5.010000       0.915350       1.279091       0.236028
       5.020000       0.946170       1.316025       0.238072
       5.030000       0.975052       1.350227       0.240162
       5.040000       1.001551       1.381891       0.242182
       5.050000       1.025361       1.411247       0.244032
       5.060000       1.046336       1.438371       0.245638
       5.070000       1.064418       1.463024       0.246966
       5.080000       1.079571       1.484565       0.248014
       5.090000       1.091757       1.502050       0.248799
       5.100000       1.101028       1.514501       0.249325
       5.110000       1.107665       1.521283       0.249564
       5.120000       1.112282       1.522419       0.249448
       5.130000       1.115806       1.518700       0.248882
       5.140000       1.119341       1.511544       0.247767
       5.150000       1.123982       1.502682       0.246028
       5.160000       1.130653       1.493814       0.243631
       5.170000       1.139973       1.486362       0.240589
       5.180000       1.152180       1.481379       0.236967
       5.190000       1.167081       1.479592       0.232877
       5.200000       1.184082       1.481517       0.228466
       5.210000       1.202306       1.487534       0.223903
       5.220000       1.220813       1.497859       0.219355
       5.230000       1.238857       1.512436       0.214969
       5.240000       1.256116       1.530813       0.210854
       5.250000       1.272775       1.552134       0.207078
       5.260000       1.289457       1.575291       0.203672
       5.270000       1.307024       1.599214       0.200630
       5.280000       1.326350       1.623213       0.197926
       5.290000       1.348141       1.647186       0.195512
       5.300000       1.372828       1.671611       0.193337
       5.310000       1.400540       1.697307       0.191353
       5.320000       1.431137       1.725074       0.189534
       5.330000       1.464283       1.755355       0.187878
       5.340000       1.499523       1.788030       0.186409
       5.350000       1.536331       1.822351       0.185164
       5.360000       1.574093       1.857027       0.184179
       5.370000       1.612060       1.890407       0.183464
       5.380000       1.649305       1.920750       0.182996
       5.390000       1.684731       1.946505       0.182716
       5.400000       1.717146       1.966524       0.182538
       5.410000       1.745405       1.980165       0.182377
       5.420000       1.768568       1.987255       0.182163
       5.430000       1.786054       1.987987       0.181867
       5.440000       1.797737       1.982813       0.181499
       5.450000       1.803958       1.972359       0.181105
       5.460000       1.805465       1.957388       0.180740
       5.470000       1.803241       1.938782       0.180464
       5.480000       1.798249       1.917530       0.180326
       5.490000       1.791156       1.894686       0.180379
       5.500000       1.782134       1.871320       0.180675
       5.510000       1.770864       1.848459       0.181271
       5.520000       1.756762       1.827050       0.182214
       5.530000       1.739309       1.807940       0.183529
       5.540000       1.718347       1.791868       0.185205
       5.550000       1.694192       1.779429       0.187198
       5.560000       1.667550       1.771012       0.189434
       5.570000       1.639323       1.766743       0.191822
       5.580000       1.610471       1.766458       0.194266
       5.590000       1.581961       1.769776       0.196677
       5.600000       1.554800       1.776209       0.198972
       5.610000       1.530036       1.785303       0.201082
       5.620000       1.508667       1.796706       0.202953
       5.630000       1.491447       1.810170       0.204545
       5.640000       1.478682       1.825465       0.205837
       5.650000       1.470107       1.842250       0.206826
       5.660000       1.464888       1.859922       0.207515
       5.670000       1.461772       1.877503       0.207912
       5.680000       1.459324       1.893622       0.208016
       5.690000       1.456201       1.906637       0.207813
       5.700000       1.451382       1.914875       0.207277
       5.710000       1.444310       1.916945       0.206375
       5.720000       1.434923       1.911992       0.205082
       5.730000       1.423567       1.899839       0.203389
       5.740000       1.410826       1.880977       0.201321
       5.750000       1.397307       1.856450       0.198940
       5.760000       1.383438       1.827687       0.196346
       5.770000       1.369344       1.796314       0.193663
       5.780000       1.354835       1.763984       0.191023
       5.790000       1.339496       1.732218       0.188548
       5.800000       1.322865       1.702297       0.186328
       5.810000       1.304626       1.675199       0.184415
       5.820000       1.284743       1.651559       0.182811
       5.830000       1.263504       1.631635       0.181469
       5.840000       1.241494       1.615276       0.180313
       5.850000       1.219521       1.601901       0.179258
       5.860000       1.198537       1.590528       0.178228
       5.870000       1.179545       1.579881       0.177178
       5.880000       1.163501       1.568581       0.176089
       5.890000       1.151242       1.555403       0.174967
       5.900000       1.143452       1.539537       0.173836
       5.910000       1.140665       1.520764       0.172731
       5.920000       1.143287       1.499476       0.171703
       5.930000       1.151609       1.476534       0.170810
       5.940000       1.165787       1.453045       0.170114
       5.950000       1.185801       1.430117       0.169669
       5.960000       1.211401       1.408698       0.169516
       5.970000       1.242073       1.389480       0.169679
       5.980000       1.277032       1.372883       0.170172
       5.990000       1.315271       1.359066       0.171009
       6.000000       1.355662       1.347966       0.172212
       6.010000       1.397090       1.339352       0.173815
       6.020000       1.438557       1.332908       0.175866
       6.030000       1.479195       1.328294       0.178413
       6.040000       1.518156       1.325166       0.181488
       6.050000       1.554454       1.323150       0.185085
       6.060000       1.586848       1.321815       0.189149
       6.070000       1.613874       1.320696       0.193561
       6.080000       1.634012       1.319396       0.198147
       6.090000       1.645921       1.317718       0.202694
       6.100000       1.648649       1.315773       0.206977
       6.110000       1.641774       1.314005       0.210800
       6.120000       1.625488       1.313106       0.214024
       6.130000       1.600639       1.313871       0.216584
       6.140000       1.568700       1.317054       0.218488
       6.150000       1.531658       1.323258       0.219810
       6.160000       1.491783       1.332912       0.220666
       6.170000       1.451337       1.346275       0.221206
