  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       1.360000     -13.860514      -5.611440       1.926662
       1.370000     -14.170195      -5.482837       1.928177
       1.380000     -14.499652      -5.359688       1.929699
       1.390000     -14.833197      -5.240491       1.931143
       1.400000     -15.151716      -5.123197       1.932423
       1.410000     -15.434781      -5.005724       1.933463
       1.420000     -15.663544      -4.886489       1.934210
       1.430000     -15.823635      -4.764767       1.934639
       1.440000     -15.907130      -4.640789       1.934762
       1.450000     -15.913024      -4.515599       1.934618
       1.460000     -15.846249      -4.390762       1.934259
       1.470000     -15.715807      -4.268013       1.933729
       1.480000     -15.532728      -4.148906       1.933052
       1.490000     -15.308359      -4.034494       1.932228
       1.500000     -15.053220      -3.925119       1.931249
       1.510000     -14.776402      -3.820358       1.930117
       1.520000     -14.485373      -3.719211       1.928876
       1.530000     -14.186040      -3.620492       1.927613
       1.540000     -13.882934      -3.523309       1.926459
       1.550000     -13.579444      -3.427441       1.925558
       1.560000     -13.278043      -3.333480       1.925041
       1.570000     -12.980491      -3.242682       1.924998
       1.580000     -12.688005      -3.156600       1.925467
       1.590000     -12.401388      -3.076587       1.926435
       1.600000     -12.121145      -3.003303       1.927850
       1.610000     -11.847555      -2.936381       1.929639
       1.620000     -11.580742      -2.874375       1.931714
       1.630000     -11.320722      -2.815053       1.933989
       1.640000     -11.067441      -2.755945       1.936375
       1.650000     -10.820805      -2.694918       1.938787
       1.660000     -10.580706      -2.630554       1.941142
       1.670000     -10.347040      -2.562227       1.943356
       1.680000     -10.119720      -2.489990       1.945349
       1.690000      -9.898681      -2.414416       1.947042
       1.700000      -9.683885      -2.336514       1.948368
       1.710000      -9.475307      -2.257716       1.949281
       1.720000      -9.272916      -2.179851       1.949761
       1.730000      -9.076649      -2.105016       1.949824
       1.740000      -8.886375      -2.035302       1.949520
       1.750000      -8.701883      -1.972436       1.948930
       1.760000      -8.522876      -1.917404       1.948152
       1.770000      -8.349006      -1.870187       1.947299
       1.780000      -8.179919      -1.829711       1.946488
       1.790000      -8.015310      -1.794060       1.945841
       1.800000      -7.854966      -1.760918       1.945473
       1.810000      -7.698775      -1.728112       1.945474
       1.820000      -7.546716      -1.694083       1.945900
       1.830000      -7.398813      -1.658120       1.946761
       1.840000      -7.255080      -1.620299       1.948022
       1.850000      -7.115488      -1.581207       1.949611
       1.860000      -6.979973      -1.541596       1.951431
       1.870000      -6.848481      -1.502089       1.953371
       1.880000      -6.721025      -1.463029       1.955312
       1.890000      -6.597694      -1.424463       1.957132
       1.900000      -6.478615      -1.386254       1.958719
       1.910000      -6.363896      -1.348252       1.959973
       1.920000      -6.253588      -1.310474       1.960816
       1.930000      -6.147726      -1.273207       1.961200
       1.940000      -6.046397      -1.237040       1.961112
       1.950000      -5.949803      -1.202843       1.960572
       1.960000      -5.858234      -1.171748       1.959627
       1.970000      -5.771990      -1.145131       1.958348
       1.980000      -5.691289      -1.124522       1.956824
       1.990000      -5.616253      -1.111440       1.955166
       2.000000      -5.546972      -1.107141       1.953504
       2.010000      -5.483605      -1.112393       1.951973
       2.020000      -5.426428      -1.127334       1.950695
       2.030000      -5.375816      -1.151407       1.949755
       2.040000      -5.332169      -1.183327       1.949193
       2.050000      -5.295869      -1.221038       1.949001
       2.060000      -5.267281      -1.261777       1.949134
       2.070000      -5.246774      -1.302342       1.949532
       2.080000      -5.234711      -1.339617       1.950135
       2.090000      -5.231389      -1.371174       1.950895
       2.100000      -5.236918      -1.395693       1.951780
       2.110000      -5.251046      -1.413008       1.952776
       2.120000      -5.272942      -1.423772       1.953874
       2.130000      -5.300970      -1.428910       1.955062
       2.140000      -5.332567      -1.429133       1.956320
       2.150000      -5.364285      -1.424674       1.957616
       2.160000      -5.392105      -1.415310       1.958915
       2.170000      -5.411975      -1.400561       1.960189
       2.180000      -5.420439      -1.379955       1.961428
       2.190000      -5.415181      -1.353287       1.962654
       2.200000      -5.395282      -1.320811       1.963916
       2.210000      -5.361148      -1.283307       1.965277
       2.220000      -5.314192      -1.241996       1.966797
       2.230000      -5.256403      -1.198292       1.968516
       2.240000      -5.189948      -1.153503       1.970438
       2.250000      -5.116888      -1.108584       1.972534
       2.260000      -5.039015      -1.064050       1.974746
       2.270000      -4.957803      -1.020057       1.976993
       2.280000      -4.874429      -0.976574       1.979188
       2.290000      -4.789814      -0.933511       1.981248
       2.300000      -4.704685      -0.890749       1.983102
       2.310000      -4.619610      -0.848095       1.984702
       2.320000      -4.535037      -0.805264       1.986025
       2.330000      -4.451320      -0.761974       1.987075
       2.340000      -4.368740      -0.718142       1.987881
       2.350000      -4.287519      -0.674048       1.988499
       2.360000      -4.207830      -0.630363       1.989006
       2.370000      -4.129797      -0.587969       1.989492
       2.380000      -4.053492      -0.547614       1.990054
       2.390000      -3.978933      -0.509522       1.990771
       2.400000      -3.906078      -0.473119       1.991693
       2.410000      -3.834843      -0.437009       1.992826
       2.420000      -3.765119      -0.399245       1.994126
       2.430000      -3.696800      -0.357821       1.995510
       2.440000      -3.629801      -0.311170       1.996867
       2.450000      -3.564071      -0.258505       1.998069
       2.460000      -3.499577      -0.199896       1.998992
       2.470000      -3.436296      -0.136152       1.999529
       2.480000      -3.374200      -0.068598       1.999597
       2.490000      -3.313252       0.001155       1.999153
       2.500000      -3.253423       0.071373       1.998196
       2.510000      -3.194704       0.140333       1.996772
       2.520000      -3.137117       0.206396       1.994969
       2.530000      -3.080712       0.268073       1.992907
       2.540000      -3.025549       0.324043       1.990727
       2.550000      -2.971675       0.373136       1.988580
       2.560000      -2.919109       0.414251       1.986609
       2.570000      -2.867821       0.446219       1.984940
       2.580000      -2.817744       0.467616       1.983669
       2.590000      -2.768777       0.476585       1.982845
       2.600000      -2.720801       0.470720       1.982466
       2.610000      -2.673677       0.447114       1.982473
       2.620000      -2.627247       0.402636       1.982757
       2.630000      -2.581332       0.334462       1.983175
       2.640000      -2.535742       0.240794       1.983571
       2.650000      -2.490306       0.121620       1.983810
       2.660000      -2.444907      -0.020657       1.983799
       2.670000      -2.399505      -0.180907       1.983517
       2.680000      -2.354142      -0.351436       1.983019
       2.690000      -2.308923      -0.522725       1.982427
       2.700000      -2.263988      -0.684681       1.981894
       2.710000      -2.219480      -0.828151       1.981569
       2.720000      -2.175523      -0.946255       1.981551
       2.730000      -2.132215      -1.035164       1.981865
       2.740000      -2.089630      -1.094138       1.982461
       2.750000      -2.047825      -1.124964       1.983227
       2.760000      -2.006846      -1.131070       1.984011
       2.770000      -1.966706      -1.116649       1.984651
       2.780000      -1.927375      -1.085972       1.985006
       2.790000      -1.888761      -1.042949       1.984981
       2.800000      -1.850728      -0.990942       1.984543
       2.810000      -1.813133      -0.932734       1.983724
       2.820000      -1.775893      -0.870607       1.982615
       2.830000      -1.739029      -0.806445       1.981353
       2.840000      -1.702700      -0.741830       1.980089
       2.850000      -1.667176      -0.678090       1.978968
       2.860000      -1.632800      -0.616304       1.978105
       2.870000      -1.599924      -0.557266       1.977565
       2.880000      -1.568848      -0.501426       1.977358
       2.890000      -1.539788      -0.448852       1.977441
       2.900000      -1.512879      -0.399229       1.977730
       2.910000      -1.488207      -0.351950       1.978123
       2.920000      -1.465862      -0.306259       1.978520
       2.930000      -1.445965      -0.261444       1.978856
       2.940000      -1.428656      -0.216994       1.979113
       2.950000      -1.414043      -0.172693       1.979327
       2.960000      -1.402142      -0.128632       1.979568
       2.970000      -1.392820      -0.085128       1.979918
       2.980000      -1.385764      -0.042596       1.980433
       2.990000      -1.380464      -0.001398       1.981127
       3.000000      -1.376201       0.038272       1.981968
       3.010000      -1.372079       0.076449       1.982892
       3.020000      -1.367098       0.113367       1.983824
       3.030000      -1.360282       0.149351       1.984705
       3.040000      -1.350832       0.184701       1.985500
       3.050000      -1.338253       0.219612       1.986211
       3.060000      -1.322409       0.254179       1.986864
       3.070000      -1.303500       0.288473       1.987498
       3.080000      -1.281968       0.322618       1.988148
       3.090000      -1.258375       0.356844       1.988835
       3.100000      -1.233292       0.391469       1.989558
       3.110000      -1.207217       0.426837       1.990295
       3.120000      -1.180529       0.463261       1.991010
       3.130000      -1.153479       0.500983       1.991655
       3.140000      -1.126204       0.540163       1.992180
       3.150000      -1.098755       0.580874       1.992538
       3.160000      -1.071125       0.623090       1.992700
       3.170000      -1.043278       0.666681       1.992664
       3.180000      -1.015173       0.711425       1.992463
       3.190000      -0.986781       0.757041       1.992152
       3.200000      -0.958097       0.803244       1.991802
       3.210000      -0.929145       0.849799       1.991466
       3.220000      -0.899967       0.896558       1.991161
       3.230000      -0.870623       0.943451       1.990852
       3.240000      -0.841181       0.990439       1.990453
       3.250000      -0.811717       1.037435       1.989849
       3.260000      -0.782316       1.084229       1.988921
       3.270000      -0.753069       1.130443       1.987584
       3.280000      -0.724068       1.175537       1.985811
       3.290000      -0.695390       1.218852       1.983651
       3.300000      -0.667092       1.259681       1.981227
       3.310000      -0.639192       1.297349       1.978721
       3.320000      -0.611671       1.331271       1.976337
       3.330000      -0.584479       1.360974       1.974274
       3.340000      -0.557545       1.386078       1.972693
       3.350000      -0.530790       1.406247       1.971696
