  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       1.360000      -4.752685     -12.884056       2.593266
       1.370000      -4.630737     -12.671804       2.595931
       1.380000      -4.511365     -12.464144       2.598640
       1.390000      -4.394494     -12.260944       2.601377
       1.400000      -4.280051     -12.062078       2.604135
       1.410000      -4.167968     -11.867422       2.606905
       1.420000      -4.058178     -11.676859       2.609685
       1.430000      -3.950615     -11.490274       2.612472
       1.440000      -3.845219     -11.307557       2.615266
       1.450000      -3.741927     -11.128603       2.618069
       1.460000      -3.640683     -10.953307       2.620882
       1.470000      -3.541430     -10.781572       2.623707
       1.480000      -3.444113     -10.613300       2.626546
       1.490000      -3.348680     -10.448399       2.629403
       1.500000      -3.255080     -10.286780       2.632281
       1.510000      -3.163264     -10.128356       2.635183
       1.520000      -3.073185      -9.973043       2.638112
       1.530000      -2.984797      -9.820760       2.641070
       1.540000      -2.898054      -9.671428       2.644062
       1.550000      -2.812914      -9.524972       2.647090
       1.560000      -2.729335      -9.381317       2.650154
       1.570000      -2.647278      -9.240393       2.653258
       1.580000      -2.566701      -9.102132       2.656402
       1.590000      -2.487569      -8.966465       2.659583
       1.600000      -2.409844      -8.833328       2.662801
       1.610000      -2.333490      -8.702659       2.666050
       1.620000      -2.258472      -8.574396       2.669320
       1.630000      -2.184758      -8.448482       2.672601
       1.640000      -2.112315      -8.324858       2.675871
       1.650000      -2.041112      -8.203470       2.679106
       1.660000      -1.971117      -8.084263       2.682267
       1.670000      -1.902302      -7.967185       2.685305
       1.680000      -1.834636      -7.852187       2.688151
       1.690000      -1.768094      -7.739218       2.690719
       1.700000      -1.702646      -7.628231       2.692895
       1.710000      -1.638268      -7.519180       2.694542
       1.720000      -1.574932      -7.412020       2.695495
       1.730000      -1.512616      -7.306707       2.695573
       1.740000      -1.451293      -7.203199       2.694594
       1.750000      -1.390942      -7.101454       2.692400
       1.760000      -1.331538      -7.001434       2.688905
       1.770000      -1.273061      -6.903098       2.684131
       1.780000      -1.215487      -6.806409       2.678249
       1.790000      -1.158797      -6.711330       2.671589
       1.800000      -1.102969      -6.617826       2.664606
       1.810000      -1.047984      -6.525862       2.657815
       1.820000      -0.993823      -6.435404       2.651702
       1.830000      -0.940467      -6.346419       2.646647
       1.840000      -0.887897      -6.258875       2.642880
       1.850000      -0.836095      -6.172741       2.640475
       1.860000      -0.785045      -6.087986       2.639378
       1.870000      -0.734729      -6.004582       2.639455
       1.880000      -0.685131      -5.922500       2.640529
       1.890000      -0.636234      -5.841711       2.642418
       1.900000      -0.588024      -5.762189       2.644949
       1.910000      -0.540484      -5.683907       2.647976
       1.920000      -0.493600      -5.606838       2.651377
       1.930000      -0.447358      -5.530959       2.655058
       1.940000      -0.401743      -5.456244       2.658943
       1.950000      -0.356741      -5.382670       2.662979
       1.960000      -0.312340      -5.310214       2.667124
       1.970000      -0.268525      -5.238852       2.671348
       1.980000      -0.225285      -5.168563       2.675633
       1.990000      -0.182606      -5.099324       2.679963
       2.000000      -0.140476      -5.031116       2.684330
       2.010000      -0.098884      -4.963917       2.688730
       2.020000      -0.057818      -4.897708       2.693160
       2.030000      -0.017266      -4.832469       2.697620
       2.040000       0.022782      -4.768182       2.702111
       2.050000       0.062338      -4.704826       2.706637
       2.060000       0.101412      -4.642385       2.711201
       2.070000       0.140014      -4.580841       2.715807
       2.080000       0.178155      -4.520177       2.720458
       2.090000       0.215845      -4.460375       2.725160
       2.100000       0.253093      -4.401419       2.729917
       2.110000       0.289908      -4.343293       2.734731
       2.120000       0.326300      -4.285982       2.739608
       2.130000       0.362278      -4.229470       2.744548
       2.140000       0.397851      -4.173743       2.749554
       2.150000       0.433028      -4.118785       2.754623
       2.160000       0.467816      -4.064583       2.759754
       2.170000       0.502225      -4.011122       2.764938
       2.180000       0.536263      -3.958389       2.770164
       2.190000       0.569937      -3.906370       2.775414
       2.200000       0.603255      -3.855053       2.780661
       2.210000       0.636226      -3.804425       2.785867
       2.220000       0.668856      -3.754474       2.790979
       2.230000       0.701153      -3.705186       2.795924
       2.240000       0.733124      -3.656551       2.800608
       2.250000       0.764776      -3.608557       2.804906
       2.260000       0.796116      -3.561192       2.808662
       2.270000       0.827152      -3.514446       2.811687
       2.280000       0.857889      -3.468307       2.813759
       2.290000       0.888335      -3.422765       2.814642
       2.300000       0.918495      -3.377809       2.814108
       2.310000       0.948377      -3.333430       2.811973
       2.320000       0.977986      -3.289616       2.808150
       2.330000       1.007329      -3.246360       2.802691
       2.340000       1.036411      -3.203650       2.795826
       2.350000       1.065238      -3.161478       2.787957
       2.360000       1.093817      -3.119835       2.779629
       2.370000       1.122153      -3.078711       2.771458
       2.380000       1.150251      -3.038098       2.764045
       2.390000       1.178118      -2.997987       2.757900
       2.400000       1.205759      -2.958371       2.753381
       2.410000       1.233179      -2.919239       2.750669
       2.420000       1.260383      -2.880586       2.749781
       2.430000       1.287376      -2.842402       2.750605
       2.440000       1.314165      -2.804680       2.752947
       2.450000       1.340754      -2.767412       2.756578
       2.460000       1.367147      -2.730592       2.761267
       2.470000       1.393351      -2.694211       2.766804
       2.480000       1.419369      -2.658263       2.773009
       2.490000       1.445207      -2.622740       2.779736
       2.500000       1.470869      -2.587636       2.786869
       2.510000       1.496360      -2.552944       2.794319
       2.520000       1.521686      -2.518658       2.802019
       2.530000       1.546849      -2.484771       2.809918
       2.540000       1.571856      -2.451276       2.817975
       2.550000       1.596711      -2.418168       2.826161
       2.560000       1.621417      -2.385440       2.834447
       2.570000       1.645980      -2.353087       2.842808
       2.580000       1.670404      -2.321103       2.851215
       2.590000       1.694693      -2.289481       2.859635
       2.600000       1.718852      -2.258217       2.868026
       2.610000       1.742885      -2.227305       2.876339
       2.620000       1.766796      -2.196739       2.884511
       2.630000       1.790590      -2.166514       2.892474
       2.640000       1.814270      -2.136625       2.900153
       2.650000       1.837842      -2.107066       2.907481
       2.660000       1.861308      -2.077834       2.914406
       2.670000       1.884675      -2.048922       2.920909
       2.680000       1.907944      -2.020326       2.927008
       2.690000       1.931122      -1.992042       2.932759
       2.700000       1.954211      -1.964064       2.938227
       2.710000       1.977217      -1.936388       2.943464
       2.720000       2.000143      -1.909010       2.948470
       2.730000       2.022993      -1.881925       2.953182
       2.740000       2.045772      -1.855128       2.957480
       2.750000       2.068483      -1.828617       2.961222
       2.760000       2.091132      -1.802385       2.964278
       2.770000       2.113721      -1.776430       2.966566
       2.780000       2.136256      -1.750748       2.968057
       2.790000       2.158741      -1.725333       2.968744
       2.800000       2.181179      -1.700183       2.968598
       2.810000       2.203575      -1.675294       2.967517
       2.820000       2.225934      -1.650662       2.965314
       2.830000       2.248260      -1.626283       2.961743
       2.840000       2.270556      -1.602153       2.956576
       2.850000       2.292829      -1.578270       2.949682
       2.860000       2.315081      -1.554629       2.941093
       2.870000       2.337318      -1.531227       2.931033
       2.880000       2.359544      -1.508061       2.919889
       2.890000       2.381764      -1.485127       2.908155
       2.900000       2.403982      -1.462423       2.896360
       2.910000       2.426203      -1.439944       2.885000
       2.920000       2.448433      -1.417689       2.874504
       2.930000       2.470675      -1.395653       2.865212
       2.940000       2.492935      -1.373833       2.857365
       2.950000       2.515219      -1.352228       2.851115
       2.960000       2.537530      -1.330833       2.846518
       2.970000       2.559876      -1.309646       2.843543
       2.980000       2.582260      -1.288664       2.842069
       2.990000       2.604689      -1.267884       2.841891
       3.000000       2.627168      -1.247303       2.842749
       3.010000       2.649703      -1.226919       2.844380
       3.020000       2.672299      -1.206730       2.846577
       3.030000       2.694964      -1.186731       2.849233
       3.040000       2.717703      -1.166922       2.852348
       3.050000       2.740523      -1.147298       2.855997
       3.060000       2.763430      -1.127859       2.860262
       3.070000       2.786431      -1.108601       2.865181
       3.080000       2.809533      -1.089521       2.870710
       3.090000       2.832744      -1.070619       2.876746
       3.100000       2.856071      -1.051890       2.883161
       3.110000       2.879521      -1.033333       2.889854
       3.120000       2.903103      -1.014946       2.896768
       3.130000       2.926825      -0.996726       2.903892
       3.140000       2.950695      -0.978670       2.911229
       3.150000       2.974723      -0.960778       2.918763
       3.160000       2.998918      -0.943047       2.926432
       3.170000       3.023289      -0.925474       2.934123
       3.180000       3.047847      -0.908058       2.941677
       3.190000       3.072602      -0.890796       2.948913
       3.200000       3.097565      -0.873687       2.955664
       3.210000       3.122746      -0.856728       2.961811
       3.220000       3.148160      -0.839918       2.967310
       3.230000       3.173816      -0.823254       2.972194
       3.240000       3.199730      -0.806735       2.976545
       3.250000       3.225913      -0.790359       2.980449
       3.260000       3.252381      -0.774124       2.983927
       3.270000       3.279149      -0.758027       2.986883
       3.280000       3.306232      -0.742068       2.989062
