       1.390000      -1.245504     -12.634285       2.685184
       1.400000      -1.172791     -12.428713       2.689042
       1.410000      -1.101533     -12.227491       2.692943
       1.420000      -1.031688     -12.030499       2.696889
       1.430000      -0.963216     -11.837618       2.700883
       1.440000      -0.896076     -11.648734       2.704931
       1.450000      -0.830233     -11.463737       2.709035
       1.460000      -0.765648     -11.282521       2.713200
       1.470000      -0.702288     -11.104984       2.717430
       1.480000      -0.640117     -10.931025       2.721728
       1.490000      -0.579104     -10.760551       2.726098
       1.500000      -0.519216     -10.593467       2.730542
       1.510000      -0.460422     -10.429684       2.735063
       1.520000      -0.402693     -10.269116       2.739660
       1.530000      -0.346000     -10.111679       2.744333
       1.540000      -0.290315      -9.957292       2.749077
       1.550000      -0.235611      -9.805875       2.753887
       1.560000      -0.181862      -9.657354       2.758751
       1.570000      -0.129041      -9.511654       2.763652
       1.580000      -0.077126      -9.368705       2.768564
       1.590000      -0.026092      -9.228437       2.773452
       1.600000       0.024085      -9.090783       2.778268
       1.610000       0.073426      -8.955679       2.782946
       1.620000       0.121953      -8.823062       2.787401
       1.630000       0.169688      -8.692871       2.791524
       1.640000       0.216651      -8.565046       2.795182
       1.650000       0.262861      -8.439531       2.798217
       1.660000       0.308338      -8.316270       2.800462
       1.670000       0.353101      -8.195209       2.801750
       1.680000       0.397168      -8.076296       2.801952
       1.690000       0.440556      -7.959481       2.801014
       1.700000       0.483283      -7.844713       2.798997
       1.710000       0.525365      -7.731945       2.796110
       1.720000       0.566819      -7.621130       2.792704
       1.730000       0.607661      -7.512225       2.789240
       1.740000       0.647904      -7.405184       2.786206
       1.750000       0.687566      -7.299965       2.784044
       1.760000       0.726659      -7.196527       2.783077
       1.770000       0.765199      -7.094829       2.783480
       1.780000       0.803199      -6.994833       2.785287
       1.790000       0.840672      -6.896501       2.788421
       1.800000       0.877632      -6.799796       2.792743
       1.810000       0.914090      -6.704681       2.798078
       1.820000       0.950060      -6.611122       2.804253
       1.830000       0.985554      -6.519085       2.811103
       1.840000       1.020583      -6.428536       2.818483
       1.850000       1.055159      -6.339445       2.826265
       1.860000       1.089293      -6.251778       2.834335
       1.870000       1.122996      -6.165507       2.842584
       1.880000       1.156278      -6.080601       2.850908
       1.890000       1.189150      -5.997031       2.859196
       1.900000       1.221622      -5.914769       2.867329
       1.910000       1.253705      -5.833789       2.875182
       1.920000       1.285407      -5.754062       2.882623
       1.930000       1.316738      -5.675564       2.889526
       1.940000       1.347707      -5.598269       2.895788
       1.950000       1.378324      -5.522152       2.901352
       1.960000       1.408598      -5.447189       2.906219
       1.970000       1.438536      -5.373357       2.910452
       1.980000       1.468147      -5.300633       2.914152
       1.990000       1.497441      -5.228994       2.917419
       2.000000       1.526424      -5.158420       2.920303
       2.010000       1.555104      -5.088888       2.922777
       2.020000       1.583491      -5.020378       2.924747
       2.030000       1.611590      -4.952870       2.926097
       2.040000       1.639410      -4.886345       2.926758
       2.050000       1.666958      -4.820783       2.926765
       2.060000       1.694241      -4.756165       2.926286
       2.070000       1.721266      -4.692473       2.925603
       2.080000       1.748041      -4.629690       2.925048
       2.090000       1.774571      -4.567797       2.924925
       2.100000       1.800864      -4.506779       2.925461
       2.110000       1.826927      -4.446618       2.926764
       2.120000       1.852764      -4.387298       2.928817
       2.130000       1.878385      -4.328803       2.931476
       2.140000       1.903793      -4.271118       2.934469
       2.150000       1.928996      -4.214229       2.937417
       2.160000       1.953999      -4.158119       2.939874
       2.170000       1.978809      -4.102775       2.941392
       2.180000       2.003431      -4.048182       2.941581
       2.190000       2.027872      -3.994328       2.940174
       2.200000       2.052137      -3.941197       2.937037
       2.210000       2.076231      -3.888778       2.932159
       2.220000       2.100161      -3.837058       2.925603
       2.230000       2.123932      -3.786023       2.917459
       2.240000       2.147549      -3.735662       2.907815
       2.250000       2.171018      -3.685962       2.896749
       2.260000       2.194344      -3.636913       2.884349
       2.270000       2.217533      -3.588501       2.870748
       2.280000       2.240590      -3.540717       2.856159
       2.290000       2.263520      -3.493549       2.840925
       2.300000       2.286328      -3.446986       2.825537
       2.310000       2.309019      -3.401019       2.810613
       2.320000       2.331600      -3.355635       2.796813
       2.330000       2.354074      -3.310827       2.784702
       2.340000       2.376447      -3.266583       2.774598
       2.350000       2.398725      -3.222893       2.766493
       2.360000       2.420911      -3.179750       2.760058
       2.370000       2.443012      -3.137143       2.754737
       2.380000       2.465032      -3.095063       2.749886
       2.390000       2.486977      -3.053501       2.744909
       2.400000       2.508851      -3.012449       2.739346
       2.410000       2.530659      -2.971898       2.732898
       2.420000       2.552408      -2.931840       2.725420
       2.430000       2.574102      -2.892267       2.716900
       2.440000       2.595745      -2.853170       2.707443
       2.450000       2.617344      -2.814543       2.697260
       2.460000       2.638904      -2.776377       2.686651
       2.470000       2.660429      -2.738664       2.675953
       2.480000       2.681926      -2.701397       2.665476
       2.490000       2.703399      -2.664570       2.655436
       2.500000       2.724855      -2.628175       2.645918
       2.510000       2.746298      -2.592205       2.636889
       2.520000       2.767734      -2.556653       2.628268
       2.530000       2.789169      -2.521513       2.620029
       2.540000       2.810609      -2.486778       2.612280
       2.550000       2.832059      -2.452442       2.605301
       2.560000       2.853526      -2.418498       2.599511
       2.570000       2.875016      -2.384940       2.595365
       2.580000       2.896535      -2.351763       2.593221
       2.590000       2.918089      -2.318960       2.593231
       2.600000       2.939684      -2.286525       2.595286
       2.610000       2.961329      -2.254454       2.599044
       2.620000       2.983028      -2.222739       2.604007
       2.630000       3.004791      -2.191376       2.609618
       2.640000       3.026623      -2.160359       2.615336
       2.650000       3.048532      -2.129684       2.620680
       2.660000       3.070526      -2.099344       2.625225
       2.670000       3.092613      -2.069335       2.628583
       2.680000       3.114801      -2.039652       2.630389
       2.690000       3.137098      -2.010289       2.630314
       2.700000       3.159514      -1.981243       2.628087
       2.710000       3.182058      -1.952508       2.623523
       2.720000       3.204739      -1.924079       2.616528
       2.730000       3.227566      -1.895953       2.607080
       2.740000       3.250551      -1.868124       2.595230
       2.750000       3.273704      -1.840589       2.581115
       2.760000       3.297036      -1.813342       2.564996
       2.770000       3.320558      -1.786380       2.547300
       2.780000       3.344284      -1.759699       2.528633
       2.790000       3.368225      -1.733294       2.509755
       2.800000       3.392395      -1.707162       2.491525
       2.810000       3.416807      -1.681298       2.474821
       2.820000       3.441478      -1.655698       2.460456
       2.830000       3.466421      -1.630360       2.449094
       2.840000       3.491653      -1.605278       2.441177
       2.850000       3.517190      -1.580450       2.436891
       2.860000       3.543050      -1.555871       2.436153
       2.870000       3.569252      -1.531538       2.438648
       2.880000       3.595814      -1.507449       2.443887
       2.890000       3.622756      -1.483598       2.451288
       2.900000       3.650099      -1.459983       2.460255
       2.910000       3.677864      -1.436601       2.470251
       2.920000       3.706074      -1.413448       2.480843
       2.930000       3.734749      -1.390521       2.491740
       2.940000       3.763913      -1.367817       2.502781
       2.950000       3.793588      -1.345333       2.513916
       2.960000       3.823794      -1.323066       2.525142
       2.970000       3.854552      -1.301012       2.536453
       2.980000       3.885878      -1.279169       2.547800
       2.990000       3.917786      -1.257534       2.559081
       3.000000       3.950283      -1.236103       2.570165
       3.010000       3.983368      -1.214875       2.580925
       3.020000       4.017028      -1.193847       2.591274
       3.030000       4.051234      -1.173014       2.601177
       3.040000       4.085934      -1.152376       2.610642
       3.050000       4.121045      -1.131929       2.619687
       3.060000       4.156444      -1.111671       2.628310
       3.070000       4.191952      -1.091599       2.636470
       3.080000       4.227321      -1.071711       2.644088
       3.090000       4.262212      -1.052003       2.651062
       3.100000       4.296175      -1.032474       2.657280
       3.110000       4.328627      -1.013122       2.662622
       3.120000       4.358841      -0.993943       2.666951
       3.130000       4.385949      -0.974936       2.670117
       3.140000       4.408978      -0.956098       2.671959
       3.150000       4.426944      -0.937427       2.672324
       3.160000       4.439009      -0.918920       2.671091
       3.170000       4.444712      -0.900577       2.668182
       3.180000       4.444230      -0.882393       2.663573
       3.190000       4.438585      -0.864368       2.657305
       3.200000       4.429674      -0.846499       2.649486
       3.210000       4.420034      -0.828784       2.640306
       3.220000       4.412373      -0.811222       2.630029
       3.230000       4.409004      -0.793810       2.618987
       3.240000       4.411393      -0.776547       2.607547
       3.250000       4.419956      -0.759430       2.596078
       3.260000       4.434098      -0.742460       2.584929
       3.270000       4.452408      -0.725634       2.574407
       3.280000       4.472892      -0.708951       2.564787
       3.290000       4.493186      -0.692410       2.556316
       3.300000       4.510732      -0.676010       2.549228
       3.310000       4.522956      -0.659751       2.543752
       3.320000       4.527501      -0.643633       2.540105
       3.330000       4.522546      -0.627653       2.538478
       3.340000       4.507218      -0.611813       2.539001
       3.350000       4.481993      -0.596108       2.541714
       3.360000       4.448938      -0.580537       2.546543
       3.370000       4.411601      -0.565096       2.553297
       3.380000       4.374474      -0.549780       2.561684
       3.390000       4.342165      -0.534586       2.571353
       3.400000       4.318554      -0.519509       2.581939
       3.410000       4.306221      -0.504545       2.593112
       3.420000       4.306273      -0.489692       2.604610
       3.430000       4.318494      -0.474949       2.616264
       3.440000       4.341678      -0.460315       2.627997
       3.450000       4.373981      -0.445791       2.639799
       3.460000       4.413222      -0.431377       2.651689
       3.470000       4.457082      -0.417076       2.663675
       3.480000       4.503223      -0.402889       2.675722
       3.490000       4.549352      -0.388820       2.687756
       3.500000       4.593269      -0.374869       2.699675
       3.510000       4.632942      -0.361040       2.711381
       3.520000       4.666634      -0.347333       2.722794
       3.530000       4.693072      -0.333746       2.733858
       3.540000       4.711632      -0.320275       2.744517
       3.550000       4.722476      -0.306915       2.754695
       3.560000       4.726583      -0.293657       2.764261
       3.570000       4.725657      -0.280492       2.773023
       3.580000       4.721932      -0.267412       2.780734
       3.590000       4.717908      -0.254412       2.787103
       3.600000       4.716020      -0.241490       2.791812
       3.610000       4.718239      -0.228645       2.794525
       3.620000       4.725683      -0.215880       2.794915
       3.630000       4.738357      -0.203198       2.792704
       3.640000       4.755107      -0.190603       2.787731
       3.650000       4.773811      -0.178101       2.780014
       3.660000       4.791716      -0.165695       2.769797
       3.670000       4.805804      -0.153388       2.757550
       3.680000       4.813077      -0.141183       2.743903
       3.690000       4.810709      -0.129080       2.729558
       3.700000       4.796069      -0.117081       2.715184
       3.710000       4.766723      -0.105185       2.701349
       3.720000       4.720575      -0.093392       2.688497
       3.730000       4.656252      -0.081703       2.676958
       3.740000       4.573683      -0.070114       2.666990
       3.750000       4.474625      -0.058621       2.658810
       3.760000       4.362833      -0.047218       2.652618
       3.770000       4.243707      -0.035893       2.648589
       3.780000       4.123524      -0.024637       2.646865
       3.790000       4.008575      -0.013439       2.647527
       3.800000       3.904493      -0.002293       2.650590
       3.810000       3.815829       0.008808       2.655994
       3.820000       3.745772       0.019865       2.663610
       3.830000       3.695930       0.030878       2.673246
       3.840000       3.666211       0.041847       2.684653
       3.850000       3.654913       0.052769       2.697539
       3.860000       3.659065       0.063638       2.711587
       3.870000       3.674936       0.074452       2.726473
       3.880000       3.698597       0.085207       2.741895
       3.890000       3.726413       0.095900       2.757585
       3.900000       3.755387       0.106530       2.773330
       3.910000       3.783299       0.117098       2.788984
       3.920000       3.808665       0.127607       2.804467
       3.930000       3.830580       0.138058       2.819750
       3.940000       3.848585       0.148454       2.834827
       3.950000       3.862656       0.158796       2.849666
       3.960000       3.873323       0.169085       2.864169
