space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Re(Ey)
2400.06, 0.874107
2422.28, 0.752819
2444.5, 0.597105
2466.72, 0.414088
2488.94, 0.212135
2511.16, 0.000481048
2533.39, -0.211195
2555.61, -0.413213
2577.83, -0.596335
2600.05, -0.752189
2622.27, -0.873646
2644.49, -0.955153
2666.71, -0.992983
2688.94, -0.985406
2711.16, -0.932768
2733.38, -0.837476
2755.6, -0.703889
2777.82, -0.538114
2800.04, -0.347732
2822.26, -0.141449
2844.49, 0.0713026
2866.71, 0.280793
2888.93, 0.477444


