space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Abs(E)^2
-3000, 0.923163
-2977.82, 0.922776
-2955.64, 0.922587
-2933.46, 0.92264
-2911.28, 0.922923
-2889.1, 0.923366
-2866.92, 0.923863
-2844.74, 0.924293
-2822.56, 0.924553
-2800.38, 0.924581
-2778.2, 0.924371
-2756.01, 0.923972
-2733.83, 0.923481
-2711.65, 0.923017
-2689.47, 0.922689
-2667.29, 0.922578
-2645.11, 0.922707
-2622.93, 0.923045
-2600.75, 0.923509
-2578.57, 0.923987
-2556.39, 0.92436
-2534.21, 0.92454
-2512.03, 0.924481
-2489.85, 0.924196
-2467.67, 0.923751
-2445.49, 0.923254
-2423.31, 0.922821
-2401.13, 0.922556
-2378.95, 0.922523
-2356.77, 0.922727
-2334.59, 0.92312
-2312.41, 0.923608
-2290.23, 0.924073
-2268.04, 0.924404
-2245.86, 0.924521
-2223.68, 0.924397
-2201.5, 0.924061
-2179.32, 0.923595
-2157.14, 0.923111
-2134.96, 0.922726
-2112.78, 0.922532
-2090.6, 0.922577
-2068.42, 0.922849
-2046.24, 0.923284
-2024.06, 0.923775
-2001.88, 0.924206
-1979.7, 0.924471
-1957.52, 0.924507
-1935.34, 0.924304
-1913.16, 0.923913
-1890.98, 0.923426
-1868.8, 0.92296
-1846.62, 0.922627
-1824.44, 0.922508
-1802.26, 0.92263
-1780.07, 0.922965
-1757.89, 0.923432
-1735.71, 0.923918
-1713.53, 0.924307
-1691.35, 0.924505
-1669.17, 0.924462
-1646.99, 0.924191
-1624.81, 0.923757
-1602.63, 0.923263
-1580.45, 0.922829
-1558.27, 0.922559
-1536.09, 0.922517
-1513.91, 0.922715
-1491.73, 0.923104
-1469.55, 0.923592
-1447.37, 0.92406
-1425.19, 0.924398
-1403.01, 0.924523
-1380.83, 0.924407
-1358.65, 0.924078
-1336.47, 0.923615
-1314.29, 0.923131
-1292.1, 0.922742
-1269.92, 0.922542
-1247.74, 0.922579
-1225.56, 0.922844
-1203.38, 0.923274
-1181.2, 0.923764
-1159.02, 0.924195
-1136.84, 0.924464
-1114.66, 0.924505
-1092.48, 0.924306
-1070.3, 0.923917
-1048.12, 0.923429
-1025.94, 0.922959
-1003.76, 0.92262
-981.578, 0.922493
-959.398, 0.92261
-937.217, 0.922942
-915.037, 0.923409
-892.856, 0.9239
-870.676, 0.924298
-848.496, 0.924507
-826.315, 0.924479
-804.135, 0.924221
-781.954, 0.923796
-759.774, 0.923308
-737.593, 0.922874
-715.413, 0.922599
-693.232, 0.922551
-671.052, 0.92274
-648.871, 0.923121
-626.691, 0.923601
-604.511, 0.924064
-582.33, 0.924398
-560.15, 0.924521
-537.969, 0.924403
-515.789, 0.92407
-493.608, 0.923602
-471.428, 0.923111
-449.247, 0.922714
-427.067, 0.922506
-404.886, 0.922537
-382.706, 0.9228
-360.525, 0.923232
-338.345, 0.923729
-316.165, 0.924173
-293.984, 0.924458
-271.804, 0.924517
-249.623, 0.924335
-227.443, 0.92396
-205.262, 0.923481
-183.082, 0.923015
-160.901, 0.922675
-138.721, 0.922542
-116.54, 0.922649
-100, 0.922658
-83.4596, 0.955894
-66.9192, 1.02028
-50.3788, 1.1118
-38.6124, 1.19021
-29.4113, 1.25742
