space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Re(Ey)
-3000, -0.510974
-2977.95, -0.705041
-2955.89, -0.856524
-2933.84, -0.956274
-2911.79, -0.998264
-2889.73, -0.979958
-2867.68, -0.902463
-2845.63, -0.770457
-2823.57, -0.591915
-2801.52, -0.377621
-2779.47, -0.140519
-2757.41, 0.10507
-2735.36, 0.344312
-2713.31, 0.562757
-2691.25, 0.747209
-2669.2, 0.886528
-2647.15, 0.972298
-2625.09, 0.99934
-2603.04, 0.966019
-2580.99, 0.87435
-2558.93, 0.729868
-2536.88, 0.541302
-2514.83, 0.320042
-2492.78, 0.0794527
-2470.72, -0.165933
-2448.67, -0.401293
-2426.62, -0.612412
-2404.56, -0.786536
-2382.51, -0.913147
-2360.46, -0.984599
-2338.4, -0.996573
-2316.35, -0.948347
-2294.3, -0.842835
-2272.24, -0.686408
-2250.19, -0.488516
-2228.14, -0.26111
-2206.08, -0.017928
-2184.03, 0.226343
-2161.98, 0.456947
-2139.92, 0.659956
-2117.87, 0.823108
-2095.82, 0.936548
-2073.76, 0.993425
-2051.71, 0.990302
-2029.66, 0.927368
-2007.6, 0.808426
-1985.55, 0.640661
-1963.5, 0.434204
-1941.44, 0.201528
-1919.39, -0.0433135
-1897.34, -0.285531
-1875.28, -0.510493
-1853.23, -0.704613
-1831.18, -0.856163
-1809.12, -0.95599
-1787.07, -0.998065
-1765.02, -0.979845
-1742.96, -0.902431
-1720.91, -0.770498
-1698.86, -0.592016
-1676.8, -0.377766
-1654.75, -0.140688
-1632.7, 0.104896
-1610.65, 0.344154
-1588.59, 0.562634
-1566.54, 0.747138
-1544.49, 0.886522
-1522.43, 0.972368
-1500.38, 0.999489
-1478.33, 0.966248
-1456.27, 0.874652
-1434.22, 0.730235
-1412.17, 0.541719
-1390.11, 0.320491
-1368.06, 0.0799152
-1346.01, -0.165478
-1323.95, -0.400867
-1301.9, -0.612031
-1279.85, -0.786218
-1257.79, -0.912906
-1235.74, -0.98444
-1213.69, -0.996503
-1191.63, -0.948364
-1169.58, -0.842931
-1147.53, -0.686574
-1125.47, -0.488736
-1103.42, -0.261367
-1081.37, -0.0182015
-1059.31, 0.226073
-1037.26, 0.456701
-1015.21, 0.659753
-993.154, 0.822962
-971.101, 0.936472
-949.047, 0.993424
-926.994, 0.99038
-904.941, 0.927523
-882.888, 0.808649
-860.834, 0.640939
-838.781, 0.434523
-816.728, 0.201869
-794.675, -0.042971
-772.621, -0.285207
-750.568, -0.510208
-728.515, -0.704384
-706.462, -0.856005
-684.408, -0.955913
-662.355, -0.998075
-640.302, -0.979943
-618.249, -0.902613
-596.195, -0.770755
-574.142, -0.592336
-552.089, -0.378131
-530.036, -0.14108
-507.982, 0.104498
-485.929, 0.34377
-463.876, 0.562283
-441.823, 0.746837
-419.769, 0.886286
-397.716, 0.972205
-375.663, 0.999404
-353.61, 0.966241
-331.556, 0.874719
-309.503, 0.730365
-287.45, 0.541898
-265.397, 0.320703
-243.343, 0.0801404
-221.29, -0.165261
-199.237, -0.400677
-177.184, -0.611889
-155.13, -0.786138
-133.077, -0.9129
-111.024, -0.984519
-88.9705, -0.996668
-66.9173, -0.948613
-51.1772, -0.879277
-39.651, -0.811335
-28.4169, -0.732239
-20.3988, -0.668765
-14.6761, -0.620193
-10.5916, -0.58399
-7.67635, -0.557407
-5.59568, -0.538273
-4.11065, -0.524531
-3.05074, -0.514683
-2.29425, -0.507629
-1.75432, -0.502591
-1.36896, -0.498991
-1.09392, -0.496415
-0.897609, -0.494573
-0.7575, -0.493265
-0.6575, -0.492324
-0.5575, -0.491385
-0.4575, -0.490446
-0.3575, -0.489509
-0.2575, -0.488568
-0.1575, -0.487633
-0.0575, -0.486691
0.0425, -0.485756
0.1425, -0.484818
0.282676, -0.48349
0.479169, -0.481641
0.754604, -0.479044
1.1407, -0.475395
1.68191, -0.470267
2.44056, -0.463046
3.50399, -0.452867
4.99468, -0.438497
7.08426, -0.41815
10.0133, -0.389245
14.1192, -0.348034
19.8747, -0.289039
27.9424, -0.204335
39.2515, -0.0828098
50.9543, 0.0443215
66.8068, 0.215333
89.0282, 0.443739
111.25, 0.644932
133.471, 0.806576
155.693, 0.918755
177.914, 0.974592
200.135, 0.970662
222.357, 0.907206
244.578, 0.788117
266.8, 0.620697
289.021, 0.415214
311.243, 0.184272
333.464, -0.0579683
355.685, -0.296649
377.907, -0.517132
400.128, -0.705897
422.35, -0.851365
444.571, -0.944617
466.793, -0.979932
489.014, -0.955145
511.235, -0.871775
533.457, -0.734936
555.678, -0.553018
577.9, -0.33718
600.121, -0.100656
622.343, 0.142048
644.564, 0.376046
666.785, 0.58699
689.007, 0.761942
711.228, 0.890174
733.45, 0.96382
755.671, 0.978366
777.893, 0.932918
800.114, 0.830265
822.335, 0.676702
844.557, 0.481646
866.778, 0.257061
889, 0.0167195
911.221, -0.224639
933.443, -0.452212
955.664, -0.652043
977.885, -0.811876
1000.11, -0.921911
1022.33, -0.975397
1044.55, -0.969055
1066.77, -0.903274
1088.99, -0.782087
1111.21, -0.612928
1133.44, -0.406169
1155.66, -0.174492
1177.88, 0.067897
1200.1, 0.306131
1222.32, 0.525601
1244.54, 0.712847
1266.76, 0.856386
1288.99, 0.947414
1311.21, 0.98035
1333.43, 0.953173
1355.65, 0.86755
1377.87, 0.728733
1400.09, 0.545234
1422.31, 0.328307
1444.54, 0.0912549
1466.76, -0.151383
1488.98, -0.384727
1511.2, -0.594467
1533.42, -0.76774
1555.64, -0.89392
1577.86, -0.965268
1600.09, -0.977408
1622.31, -0.929597
1644.53, -0.824767
1666.75, -0.669346
1688.97, -0.472867
1711.19, -0.247378
1733.41, -0.00670979
1755.64, 0.234379
1777.86, 0.461103
1800.08, 0.659558
1822.3, 0.817571
1844.52, 0.925453
1866.74, 0.976588
1888.96, 0.96784
1911.19, 0.899743
1933.41, 0.776476
1955.63, 0.605597
1977.85, 0.397586
2000.07, 0.165198
2022.29, -0.0773125
2044.51, -0.315075
2066.74, -0.533508
2088.96, -0.719215
2111.18, -0.860809
2133.4, -0.949604
2155.62, -0.980156
2177.84, -0.950592
2200.06, -0.862725
2222.29, -0.721943
2244.51, -0.536881
2266.73, -0.318889
2288.95, -0.081334
2311.17, 0.161212
2333.39, 0.393877
2355.61, 0.602389
2377.84, 0.773963
2400.06, 0.898075
2422.28, 0.967114
2444.5, 0.976845
2466.72, 0.926671
2488.94, 0.819669
2511.16, 0.662401
2533.39, 0.464512
2555.61, 0.238138
2577.83, -0.00283877
2600.05, -0.243641
2622.27, -0.469499
2644.49, -0.666564
2666.71, -0.822749
2688.94, -0.928476
2711.16, -0.977262
2733.38, -0.966115
2755.6, -0.895718
2777.82, -0.770391
2800.04, -0.597817
2822.26, -0.388583
2844.49, -0.155518
2866.71, 0.0870819
2888.93, 0.32434


