space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Re(Ey)
-3000, -0.6267
-2977.94, -0.793452
-2955.89, -0.912259
-2933.83, -0.975943
-2911.77, -0.980654
-2889.71, -0.926108
-2867.66, -0.815602
-2845.6, -0.655812
-2823.54, -0.456393
-2801.49, -0.229395
-2779.43, 0.0114655
-2757.37, 0.251636
-2735.32, 0.476603
-2713.26, 0.672774
-2691.2, 0.828296
-2669.14, 0.933771
-2647.09, 0.982826
-2625.03, 0.972498
-2602.97, 0.903409
-2580.92, 0.779735
-2558.86, 0.608949
-2536.8, 0.401369
-2514.75, 0.16954
-2492.69, -0.0725325
-2470.63, -0.31022
-2448.57, -0.529161
-2426.52, -0.716127
-2404.46, -0.85982
-2382.4, -0.951558
-2360.35, -0.985798
-2338.29, -0.960471
-2316.23, -0.877107
-2294.17, -0.740744
-2272.12, -0.559621
-2250.06, -0.344682
-2228, -0.108915
-2205.95, 0.133435
-2183.89, 0.367723
-2161.83, 0.579793
-2139.78, 0.756831
-2117.72, 0.88814
-2095.66, 0.965785
-2073.6, 0.985076
-2051.55, 0.944845
-2029.49, 0.847524
-2007.43, 0.698994
-1985.38, 0.508229
-1963.32, 0.286756
-1941.26, 0.0479567
-1919.21, -0.193739
-1897.15, -0.423729
-1875.09, -0.628114
-1853.03, -0.794546
-1830.98, -0.912968
-1808.92, -0.976225
-1786.86, -0.980495
-1764.81, -0.925519
-1742.75, -0.81462
-1720.69, -0.654498
-1698.63, -0.454828
-1676.58, -0.227676
-1654.52, 0.0132333
-1632.46, 0.253343
-1610.41, 0.478144
-1588.35, 0.674054
-1566.29, 0.829235
-1544.24, 0.934311
-1522.18, 0.982932
-1500.12, 0.972161
-1478.06, 0.902647
-1456.01, 0.778592
-1433.95, 0.607491
-1411.89, 0.399683
-1389.84, 0.167724
-1367.78, -0.0743706
-1345.72, -0.311972
-1323.67, -0.530723
-1301.61, -0.717407
-1279.55, -0.860744
-1257.49, -0.952072
-1235.44, -0.985874
-1213.38, -0.960106
-1191.32, -0.876326
-1169.27, -0.739597
-1147.21, -0.55818
-1125.15, -0.343037
-1103.09, -0.107167
-1081.04, 0.135177
-1058.98, 0.369351
-1036.92, 0.581207
-1014.87, 0.757943
-992.81, 0.888879
-970.753, 0.966105
-948.696, 0.984954
-926.639, 0.944287
-904.582, 0.846561
-882.525, 0.697681
-860.467, 0.506643
-838.41, 0.28499
-816.353, 0.0461158
-794.296, -0.195547
-772.239, -0.425396
-750.182, -0.629543
-728.125, -0.795652
-706.068, -0.913687
-684.011, -0.976516
-661.954, -0.980342
-639.897, -0.924934
-617.84, -0.81364
-595.783, -0.653185
-573.726, -0.453265
-551.669, -0.225958
-529.612, 0.0149997
-507.555, 0.255049
-485.498, 0.479685
-463.441, 0.675335
-441.384, 0.830177
-419.327, 0.934854
-397.27, 0.983042
-375.213, 0.971829
-353.156, 0.901892
-331.099, 0.777458
-309.042, 0.606045
-286.985, 0.39801
-264.927, 0.165924
-242.87, -0.0761902
-220.813, -0.313702
-198.756, -0.532262
-176.699, -0.718662
-154.642, -0.86164
-132.585, -0.952558
-110.528, -0.985919
-88.4712, -0.959712
-66.4142, -0.875514
-50, -0.778529
-38.3175, -0.702186
-29.2553, -0.639192
-20.9404, -0.578748
-15.0224, -0.534336
-10.8103, -0.502072
-7.81245, -0.478796
-5.67876, -0.46208
-4.16014, -0.45011
-3.07928, -0.441553
-2.30999, -0.435445
-1.76246, -0.431089
-1.37277, -0.427984
-1.09541, -0.425772
-0.898002, -0.424196
-0.7575, -0.423074
-0.6575, -0.422276
-0.5575, -0.421476
-0.4575, -0.420677
-0.3575, -0.419878
-0.2575, -0.419078
-0.1575, -0.418278
-0.0575, -0.417477
0.0425, -0.416677
0.1425, -0.415876
0.282676, -0.414751
0.479169, -0.413175
0.754604, -0.410962
1.1407, -0.407852
1.68191, -0.40348
2.44056, -0.397327
3.50399, -0.388655
4.99468, -0.376406
7.08426, -0.359062
10.0133, -0.334424
14.1192, -0.299285
19.8747, -0.248972
27.9424, -0.176723
39.2515, -0.0730438
50.9543, 0.0354659
66.8068, 0.181495
89.0282, 0.376647
111.25, 0.548703
133.471, 0.687103
155.693, 0.783364
177.914, 0.83158
200.135, 0.828796
222.357, 0.775181
244.578, 0.674024
266.8, 0.531529
289.021, 0.356434
311.243, 0.159477
333.464, -0.0472617
355.685, -0.251104
377.907, -0.43955
400.128, -0.60104
422.35, -0.725673
444.571, -0.805804
466.793, -0.836519
489.014, -0.815934
511.235, -0.745312
533.457, -0.628984
555.678, -0.474083
577.9, -0.290111
600.121, -0.0883483
