space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Re(Ey)
2377.84, 1.06343
2400.06, 0.977964
2422.28, 0.847784
2444.5, 0.678842
2466.72, 0.478863
2488.94, 0.256992
2511.16, 0.0233753
2533.39, -0.211305
2555.61, -0.436318
2577.83, -0.641374
2600.05, -0.817095
2622.27, -0.955448
2644.49, -1.0501
2666.71, -1.09674
2688.94, -1.09321
2711.16, -1.03969
2733.38, -0.938627
2755.6, -0.794634
2777.82, -0.6143
2800.04, -0.40587
2822.26, -0.178876
2844.49, 0.0563013
2866.71, 0.288908
2888.93, 0.508308


