space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Abs(E)^2
466.793, 1.66891
489.014, 0.879712
511.235, 0.292797
533.457, 0.0142899
555.678, 0.0945527
577.9, 0.519075
600.121, 1.21109
622.343, 2.04548
644.564, 2.87136
666.785, 3.53939
689.007, 3.92879
711.228, 3.96914
733.45, 3.65314
755.671, 3.03793
777.893, 2.23476
800.114, 1.38886
822.335, 0.653178
844.557, 0.160748
866.778, 0.000608178
889, 0.201715
911.221, 0.727701
933.443, 1.48346
955.664, 2.33232
977.885, 3.1208
1000.11, 3.70631
1022.33, 3.98299
1044.55, 3.90081
1066.77, 3.47462
1088.99, 2.78149
1111.21, 1.94675
1133.44, 1.12135
1155.66, 0.454534
1177.88, 0.0668821
1200.1, 0.0284889
1222.32, 0.346298
1244.54, 0.962842
1266.76, 1.76664
1288.99, 2.61234
1311.21, 3.34703
1333.43, 3.83785
1355.65, 3.99606
1377.87, 3.79305
1400.09, 3.26553
1422.31, 2.50888
1444.54, 1.65992
1466.76, 0.872167
1488.98, 0.288062
1511.2, 0.0132218
1533.42, 0.0973436
1555.64, 0.525215
1577.86, 1.21947
1600.09, 2.05456
1622.31, 2.87949
1644.53, 3.5451
1666.75, 3.93102
1688.97, 3.96748
1711.19, 3.64787
1733.41, 3.03
1755.64, 2.22559
1777.86, 1.38009
1800.08, 0.646391
1822.3, 0.157159
1844.52, 0.000855436
1866.74, 0.205744
1888.96, 0.734773
1911.19, 1.49228
1933.41, 2.34129
1955.63, 3.12829
1977.85, 3.71096
2000.07, 3.98394
2022.29, 3.89788
2044.51, 3.46834
2066.74, 2.77298
2088.96, 1.93755
2111.18, 1.1131
2133.4, 0.448727
2155.62, 0.0645532
2177.84, 0.0300478
2200.06, 0.35145
2222.29, 0.970645
2244.51, 1.77567
2266.73, 2.62095
2288.95, 3.35365
2311.17, 3.84128
2333.39, 3.99566
2355.61, 3.78889
2377.84, 3.25834
2400.06, 2.49996
2422.28, 1.65088
2444.5, 0.864619
2466.72, 0.283358
2488.94, 0.0121964
2511.16, 0.100164
2533.39, 0.531351
2555.61, 1.22778
2577.83, 2.06353
2600.05, 2.88747
2622.27, 3.55061
2644.49, 3.93305
2666.71, 3.96562
2688.94, 3.64244
2711.16, 3.02195
2733.38, 2.21635
2755.6, 1.3713
2777.82, 0.639624
2800.04, 0.153609
2822.26, 0.00114425
2844.49, 0.209798
2866.71, 0.741842
2888.93, 1.50107


