space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Re(Ey)
-3000, 1.12732
-2983.52, 1.07241
-2967.04, 1.00081
-2950.56, 0.91364
-2934.08, 0.812255
-2917.6, 0.69823
-2901.12, 0.573338
-2884.64, 0.43952
-2868.17, 0.298856
-2851.69, 0.153532
-2835.21, 0.00580905
-2818.73, -0.142018
-2802.25, -0.287651
-2785.77, -0.428825
-2769.29, -0.563347
-2752.81, -0.689125
-2736.33, -0.804204
-2719.85, -0.906795
-2703.37, -0.995303
-2686.89, -1.06835
-2670.41, -1.12481
-2653.93, -1.16379
-2637.45, -1.1847
-2620.97, -1.1872
-2604.5, -1.17126
-2588.02, -1.13713
-2571.54, -1.08533
-2555.06, -1.01668
-2538.58, -0.93223
-2522.1, -0.833307
-2505.62, -0.721445
-2489.14, -0.598381
-2472.66, -0.466029
-2456.18, -0.326447
-2439.7, -0.181804
-2423.22, -0.0343489
-2406.74, 0.113626
-2390.26, 0.259819
-2373.78, 0.40196
-2357.31, 0.537837
-2340.83, 0.665339
-2324.35, 0.782484
-2307.87, 0.88745
-2291.39, 0.978606
-2274.91, 1.05453
-2258.43, 1.11406
-2241.95, 1.15624
-2225.47, 1.18044
-2208.99, 1.18628
-2192.51, 1.17365
-2176.03, 1.14277
-2159.55, 1.09411
-2143.07, 1.02843
-2126.59, 0.946745
-2110.11, 0.850328
-2093.64, 0.740679
-2077.16, 0.619501
-2060.68, 0.488679
-2044.2, 0.350246
-2027.72, 0.206354
-2011.24, 0.0592406
-1994.76, -0.0888073
-1978.28, -0.235488
-1961.8, -0.378522
-1945.32, -0.515685
-1928.84, -0.644845
-1912.36, -0.763994
-1895.88, -0.871279
-1879.4, -0.965033
-1862.92, -1.0438
-1846.45, -1.10635
-1829.97, -1.15172
-1813.49, -1.17919
-1797.01, -1.18835
-1780.53, -1.17904
-1764.05, -1.15142
-1747.57, -1.10592
-1731.09, -1.04323
-1714.61, -0.964339
-1698.13, -0.870469
-1681.65, -0.763079
