space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Abs(E)^2
1024.9, 1.48112
1041.43, 1.47889
1057.96, 1.47643
1074.48, 1.47424
1091.01, 1.47256
1107.54, 1.47133
1124.07, 1.4706
1140.6, 1.47025
1157.13, 1.47026
1173.65, 1.47056
1190.18, 1.47116
1206.71, 1.47208
1223.24, 1.47336
1239.77, 1.47499
1256.3, 1.47689
1272.82, 1.47933
1289.35, 1.48182
1305.88, 1.48501
1322.41, 1.48844
1338.94, 1.49163
1355.47, 1.49502
1371.99, 1.49848
1388.52, 1.5023
1405.05, 1.50609
1421.58, 1.51007
1438.11, 1.51368
1454.64, 1.51709
1471.16, 1.51985
1487.69, 1.52238
1504.22, 1.52455
1520.75, 1.52631
1537.28, 1.52764
1553.81, 1.52817
1570.33, 1.52813
1586.86, 1.52757
1603.39, 1.52657
1619.92, 1.52503
1636.45, 1.52314
1652.98, 1.52122
1669.5, 1.51895
1686.03, 1.51636
1702.56, 1.51372
1719.09, 1.51094
1735.62, 1.50864
1752.15, 1.50637
1768.67, 1.50455
1785.2, 1.50281
1801.73, 1.50114
1818.26, 1.49934
1834.79, 1.49809
1851.32, 1.49668
1867.84, 1.49538
1884.37, 1.49435
1900.9, 1.49332
1917.43, 1.49264
1933.96, 1.4922
1950.49, 1.49185
1967.01, 1.49143
1983.54, 1.49116
2000.07, 1.49107
2016.6, 1.49123
2033.13, 1.49157
2049.66, 1.49218
2066.18, 1.49304
2082.71, 1.49387
2099.24, 1.49516
2115.77, 1.49633
2132.3, 1.49826
2148.83, 1.49997
2165.35, 1.50173
2181.88, 1.50394
2198.41, 1.50563
2214.94, 1.50782
2231.47, 1.51023
2248, 1.51296
2264.52, 1.51488
2281.05, 1.51691
2297.58, 1.51881
2314.11, 1.52064
2330.64, 1.52183
2347.17, 1.52277
2363.69, 1.52361
2380.22, 1.52407
2396.75, 1.52405
2413.28, 1.52356
2429.81, 1.52277
2446.34, 1.52172
2462.86, 1.52047
2479.39, 1.51897
2495.92, 1.51731
2512.45, 1.5156
2528.98, 1.51373
2545.51, 1.51172
2562.03, 1.51017
2578.56, 1.5087
2595.09, 1.50761
2611.62, 1.50675
2628.15, 1.50588
2644.68, 1.50525
2661.2, 1.50461
2677.73, 1.50452
2694.26, 1.5049
2710.79, 1.50563
2727.32, 1.50625
2743.85, 1.50665
2760.37, 1.5069
2776.9, 1.50704
2793.43, 1.50724
2809.96, 1.50768
2826.49, 1.50783
2843.02, 1.50719
2859.54, 1.50751
2876.07, 1.50943
2892.6, 1.51571


