space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Abs(E)^2
2422.28, 0.99712
2444.5, 1.0009
2466.72, 1.00449
2488.94, 1.00725
2511.16, 1.00868
2533.39, 1.00851
2555.61, 1.00679
2577.83, 1.00381
2600.05, 1.00013
2622.27, 0.996396
2644.49, 0.993295
2666.71, 0.991384
2688.94, 0.99101
2711.16, 0.99224
2733.38, 0.99485
2755.6, 0.998371
2777.82, 1.00216
2800.04, 1.00555
2822.26, 1.0079
2844.49, 1.00881
2866.71, 1.0081
2888.93, 1.00591


