space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Abs(E)^2
1333.43, 1.02388
1355.65, 1.20678
1377.87, 1.34842
1400.09, 1.4146
1422.31, 1.38932
1444.54, 1.2787
1466.76, 1.10944
1488.98, 0.922442
1511.2, 0.762869
1533.42, 0.669266
1555.64, 0.664246
1577.86, 0.749022
1600.09, 0.903116
1622.31, 1.08931
1644.53, 1.26262
1666.75, 1.3812
1688.97, 1.41638
1711.19, 1.35969
1733.41, 1.22479
1755.64, 1.04429
1777.86, 0.861782
1800.08, 0.721348
1822.3, 0.656913
1844.52, 0.684045
1866.74, 0.796191
1888.96, 0.966263
1911.19, 1.15318
1933.41, 1.3118
1955.63, 1.4038
1977.85, 1.40695
2000.07, 1.3205
2022.29, 1.16533
2044.51, 0.978905
2066.74, 0.806268
2088.96, 0.689115
2111.18, 0.655746
2133.4, 0.714223
2155.62, 0.850423
2177.84, 1.03145
2200.06, 1.21358
2222.29, 1.35282
2244.51, 1.41553
2266.73, 1.38658
2288.95, 1.27295
2311.17, 1.10208
2333.39, 0.915262
2355.61, 0.757608
2377.84, 0.667203
2400.06, 0.665884
2422.28, 0.75397
2444.5, 0.910187
2466.72, 1.0968
2488.94, 1.26873
2511.16, 1.38445
2533.39, 1.416
2555.61, 1.35577
2577.83, 1.21829
2600.05, 1.03678
2622.27, 0.855066
2644.49, 0.717053
2666.71, 0.656074
2688.94, 0.68686
2711.16, 0.801976
2733.38, 0.97362
2755.6, 1.16034
2777.82, 1.31702
2800.04, 1.40584
2822.26, 1.40534
2844.49, 1.31563
2866.71, 1.15839
2888.93, 0.971602


