space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Re(Ey)
1044.55, 1.94971
1066.77, 1.84012
1088.99, 1.64638
1111.21, 1.37735
1133.44, 1.04534
1155.66, 0.665527
1177.88, 0.255281
1200.1, -0.166639
1222.32, -0.580938
1244.54, -0.968672
1266.76, -1.31211
1288.99, -1.59555
1311.21, -1.80602
1333.43, -1.93391
1355.65, -1.97337
1377.87, -1.92258
1400.09, -1.78388
1422.31, -1.56361
1444.54, -1.27183
1466.76, -0.921898
1488.98, -0.529807
1511.2, -0.11349
1533.42, 0.308017
1555.64, 0.715438
1577.86, 1.09014
1600.09, 1.415
1622.31, 1.67515
1644.53, 1.85869
1666.75, 1.95724
1688.97, 1.96629
1711.19, 1.88543
1733.41, 1.71835
1755.64, 1.47269
1777.86, 1.15968
1800.08, 0.793652
1822.3, 0.391328
1844.52, -0.0288901
1866.74, -0.447786
1888.96, -0.846205
1911.19, -1.20593
1933.41, -1.5105
1955.63, -1.74601
1977.85, -1.90167
2000.07, -1.97037
2022.29, -1.94897
2044.51, -1.83844
2066.74, -1.64385
2088.96, -1.37408
2111.18, -1.04148
2133.4, -0.661261
2155.62, -0.250799
2177.84, 0.171132
2200.06, 0.585237
2222.29, 0.97258
2244.51, 1.31545
2266.73, 1.59816
2288.95, 1.8078
2311.17, 1.93476
2333.39, 1.97326
2355.61, 1.92152
2377.84, 1.78191
2400.06, 1.56082
2422.28, 1.26836
2444.5, 0.9179
2466.72, 0.525466
2488.94, 0.109004
2511.16, -0.31244
2533.39, -0.719596
2555.61, -1.09384
2577.83, -1.41807
2600.05, -1.67745
2622.27, -1.86013
2644.49, -1.95774
2666.71, -1.96583
2688.94, -1.88402
2711.16, -1.71606
2733.38, -1.46963
2755.6, -1.15599
2777.82, -0.789493
2800.04, -0.386893
2822.26, 0.0333983
2844.49, 0.452163
2866.71, 0.85025
2888.93, 1.20946


