space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Re(Ey)
1008.37, -0.90791
1024.9, -0.798058
1041.43, -0.675753
1057.96, -0.542679
1074.48, -0.401187
1091.01, -0.253553
1107.54, -0.102124
1124.07, 0.050763
1140.6, 0.202814
1157.13, 0.351647
1173.65, 0.495013
1190.18, 0.630743
1206.71, 0.756426
1223.24, 0.870238
1239.77, 0.970383
1256.3, 1.05522
1272.82, 1.12361
1289.35, 1.17419
1305.88, 1.20653
1322.41, 1.21988
1338.94, 1.21386
1355.47, 1.18879
1371.99, 1.14502
1388.52, 1.08337
1405.05, 1.0047
1421.58, 0.910304
1438.11, 0.801501
1454.64, 0.680056
1471.16, 0.547791
1487.69, 0.406926
1504.22, 0.259666
1520.75, 0.108302
1537.28, -0.0448139
1553.81, -0.197509
1570.33, -0.347173
1586.86, -0.491402
1603.39, -0.627895
1619.92, -0.754429
1636.45, -0.869018
1652.98, -0.970436
1669.5, -1.05668
1686.03, -1.12634
1702.56, -1.17847
1719.09, -1.21219
1735.62, -1.22721
1752.15, -1.22305
1768.67, -1.1999
1785.2, -1.15797
1801.73, -1.09787
1818.26, -1.02049
1834.79, -0.927262
1851.32, -0.819385
1867.84, -0.698685
1884.37, -0.567091
1900.9, -0.426596
1917.43, -0.279521
1933.96, -0.128146
1950.49, 0.025248
1967.01, 0.178387
1983.54, 0.328617
2000.07, 0.473462
2016.6, 0.610711
2033.13, 0.738343
2049.66, 0.854577
2066.18, 0.957593
2082.71, 1.04539
2099.24, 1.11701
2115.77, 1.17095
2132.3, 1.20685
2148.83, 1.22364
2165.35, 1.22122
2181.88, 1.19978
2198.41, 1.15933
2214.94, 1.10087
2231.47, 1.02527
2248, 0.933688
2264.52, 0.827207
2281.05, 0.707857
2297.58, 0.577446
2314.11, 0.438019
2330.64, 0.291557
2347.17, 0.140557
2363.69, -0.0125428
2380.22, -0.165504
2396.75, -0.316091
2413.28, -0.461818
2429.81, -0.600259
2446.34, -0.729163
2462.86, -0.846908
2479.39, -0.951317
2495.92, -1.04087
2512.45, -1.11417
2528.98, -1.17001
2545.51, -1.20751
2562.03, -1.22634
2578.56, -1.22602
2595.09, -1.20666
2611.62, -1.16847
2628.15, -1.11196
2644.68, -1.03813
2661.2, -0.948037
2677.73, -0.843286
2694.26, -0.725524
2710.79, -0.596455
2727.32, -0.457992
2743.85, -0.312238
2760.37, -0.161586
2776.9, -0.00845825
2793.43, 0.14467
2809.96, 0.295585
2826.49, 0.441905
2843.02, 0.581584
2859.54, 0.712651
2876.07, 0.832925
2892.6, 0.94083


