space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Re(Ey)
-3000, -0.486081
-2977.78, -0.685783
-2955.57, -0.843446
-2933.35, -0.949405
-2911.13, -0.997164
-2888.92, -0.983796
-2866.7, -0.910121
-2844.48, -0.780654
-2822.27, -0.603332
-2800.05, -0.389026
-2777.83, -0.150871
-2755.62, 0.0965312
-2733.4, 0.338017
-2711.18, 0.558781
-2688.97, 0.745292
-2666.75, 0.886115
-2644.53, 0.972619
-2622.32, 0.9995
-2600.1, 0.965111
-2577.88, 0.871559
-2555.67, 0.72458
-2533.45, 0.533183
-2511.23, 0.309101
-2489.02, 0.0660712
-2466.8, -0.181009
-2444.58, -0.416994
-2422.37, -0.627416
-2400.15, -0.799377
-2377.93, -0.922335
-2355.72, -0.988754
-2333.5, -0.99456
-2311.29, -0.939399
-2289.07, -0.826652
-2266.85, -0.663231
-2244.64, -0.459152
-2222.42, -0.226927
-2200.2, 0.019209
-2177.99, 0.264167
-2155.77, 0.492932
-2133.55, 0.691479
-2111.34, 0.847638
-2089.12, 0.951836
-2066.9, 0.997685
-2044.69, 0.982374
-2022.47, 0.906843
-2000.25, 0.775722
-1978.04, 0.597048
-1955.82, 0.381774
-1933.6, 0.143097
-1911.39, -0.104352
-1889.17, -0.345404
-1866.95, -0.565282
-1844.74, -0.750509
-1822.52, -0.889728
-1800.3, -0.974405
-1778.09, -0.999351
-1755.87, -0.963036
-1733.65, -0.867685
-1711.44, -0.719145
-1689.22, -0.52652
-1667, -0.301619
-1644.79, -0.0582285
-1622.57, 0.188731
-1600.35, 0.424121
-1578.14, 0.633513
-1555.92, 0.804069
-1533.7, 0.925335
-1511.49, 0.989876
-1489.27, 0.993738
-1467.05, 0.936682
-1444.84, 0.822206
-1422.62, 0.657329
-1400.4, 0.452156
-1378.19, 0.219266
-1355.97, -0.0270658
-1333.75, -0.271738
-1311.54, -0.499753
-1289.32, -0.697132
-1267.1, -0.851776
-1244.89, -0.954206
-1222.67, -0.998142
-1200.45, -0.98089
-1178.24, -0.90351
-1156.02, -0.770743
-1133.8, -0.590729
-1111.59, -0.374502
-1089.37, -0.135319
-1067.15, 0.11216
-1044.94, 0.352764
-1022.72, 0.571742
-1000.51, 0.755672
-978.288, 0.893279
-956.072, 0.976126
-933.855, 0.999136
-911.639, 0.960898
-889.422, 0.863756
-867.205, 0.713664
-844.989, 0.519824
-822.772, 0.294119
-800.556, 0.0503834
-778.339, -0.196441
-756.122, -0.431223
-733.906, -0.63957
-711.689, -0.808712
-689.472, -0.928278
-667.256, -0.99094
-645.039, -0.992857
-622.823, -0.93391
-600.606, -0.817714
-578.389, -0.651391
-556.173, -0.445137
-533.956, -0.211596
-511.74, 0.0349165
-489.523, 0.279288
-467.306, 0.506539
-445.09, 0.702739
-422.873, 0.855859
-400.657, 0.956515
-378.44, 0.998536
-356.223, 0.979345
-334.007, 0.900119
-311.79, 0.765715
-289.573, 0.584371
-267.357, 0.367205
-245.14, 0.127529
-222.924, -0.119965
-200.707, -0.360104
-178.49, -0.578169
-156.274, -0.760792
-134.057, -0.896778
-111.841, -0.97779
-89.6239, -0.998862
-67.4073, -0.958704
-51.558, -0.894136
-39.8603, -0.82859
-28.5534, -0.751849
-20.4871, -0.689807
-14.7326, -0.642139
-10.6273, -0.606518
-7.69861, -0.580331
-5.60928, -0.561271
-4.11876, -0.547488
-3.05542, -0.537562
-2.29683, -0.530435
-1.75566, -0.525328
-1.36959, -0.521673
-1.09416, -0.519059
-0.897674, -0.517191
-0.7575, -0.515857
-0.6575, -0.514905
-0.5575, -0.513952
-0.4575, -0.512998
-0.3575, -0.512045
-0.2575, -0.51109
-0.1575, -0.510134
-0.0575, -0.509178
0.0425, -0.508221
0.1425, -0.507264
0.282676, -0.505921
0.479169, -0.504036
0.754604, -0.50139
1.1407, -0.497673
1.68191, -0.492447
2.44056, -0.485091
3.50399, -0.474722
4.99468, -0.460074
7.08426, -0.439328
10.0133, -0.409846
14.1192, -0.367784
19.8747, -0.307527
27.9424, -0.220931
39.2515, -0.0965391
50.9543, 0.0337988
66.8068, 0.209437
89.0282, 0.444635
111.25, 0.652565
133.471, 0.820475
155.693, 0.938067
177.914, 0.998129
200.135, 0.996978
222.357, 0.934685
244.578, 0.81507
266.8, 0.645469
289.021, 0.436282
311.243, 0.200339
333.464, -0.0478897
355.685, -0.293182
377.907, -0.520494
400.128, -0.715886
422.35, -0.867374
444.571, -0.965668
466.793, -1.00474
489.014, -0.982193
511.235, -0.899412
533.457, -0.761471
555.678, -0.576831
577.9, -0.356816
600.121, -0.114917
622.343, 0.134028
644.564, 0.374754
666.785, 0.592497
689.007, 0.773904
711.228, 0.907849
733.45, 0.986118
755.671, 1.00391
777.893, 0.960135
800.114, 0.857477
822.335, 0.702232
844.557, 0.50392
866.778, 0.274705
889, 0.0286419
911.221, -0.219177
933.443, -0.453555
955.664, -0.660117
977.885, -0.826196
1000.11, -0.941607
1022.33, -0.999271
1044.55, -0.995651
1066.77, -0.930971
1088.99, -0.809197
1111.21, -0.637797
1133.44, -0.427282
1155.66, -0.190563
1177.88, 0.0578431
1200.1, 0.302701
1222.32, 0.528996
1244.54, 0.722848
1266.76, 0.87237
1288.99, 0.968391
1311.21, 1.00502
1333.43, 0.980019
1355.65, 0.894913
1377.87, 0.754924
1400.09, 0.568638
1422.31, 0.347478
1444.54, 0.105008
1466.76, -0.143902
1488.98, -0.383987
1511.2, -0.600523
1533.42, -0.78023
1555.64, -0.912088
1577.86, -0.988009
1600.09, -1.00334
1622.31, -0.957135
1644.53, -0.852233
1666.75, -0.695066
1688.97, -0.495272
1711.19, -0.265104
1733.41, -0.0186777
1755.64, 0.228894
1777.86, 0.462428
1800.08, 0.667602
1822.3, 0.831834
1844.52, 0.945051
1866.74, 1.00031
1888.96, 0.994223
1911.19, 0.927163
1933.41, 0.803241
1955.63, 0.630059
1977.85, 0.418237
2000.07, 0.180765
2022.29, -0.067793
2044.51, -0.312193
2066.74, -0.537447
2088.96, -0.729741
2111.18, -0.877282
2133.4, -0.971021
2155.62, -1.00521
2177.84, -0.977751
2200.06, -0.890329
2222.29, -0.748305
2244.51, -0.56039
2266.73, -0.338107
2288.95, -0.0950895
2311.17, 0.15376
2333.39, 0.393179
2355.61, 0.608486
2377.84, 0.786476
2400.06, 0.916233
2422.28, 0.9898
2444.5, 1.00266
2466.72, 0.954038
2488.94, 0.846902
2511.16, 0.687828
2533.39, 0.486571
2555.61, 0.255474
2577.83, 0.00870889
2600.05, -0.23859
2622.27, -0.471257
2644.49, -0.675023
2666.71, -0.837391
2688.94, -0.948404
2711.16, -1.00125
2733.38, -0.992699
2755.6, -0.923265
2777.82, -0.797209
2800.04, -0.622262
2822.26, -0.409153
2844.49, -0.170951
2866.71, 0.0777339
2888.93, 0.321652


