  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       1.370000     -15.548010      -0.000787       1.924924
       1.380000     -15.192638       0.072461       1.926014
       1.390000     -14.837090       0.142577       1.927326
       1.400000     -14.484107       0.208781       1.928801
       1.410000     -14.135648       0.270879       1.930374
       1.420000     -13.793070       0.329132       1.931976
       1.430000     -13.457280       0.383949       1.933538
       1.440000     -13.128854       0.435530       1.934991
       1.450000     -12.808128       0.483644       1.936270
       1.460000     -12.495273       0.527657       1.937317
       1.470000     -12.190349       0.566831       1.938085
       1.480000     -11.893347       0.600762       1.938543
       1.490000     -11.604224       0.629769       1.938677
       1.500000     -11.322919       0.655060       1.938498
       1.510000     -11.049365       0.678560       1.938041
       1.520000     -10.783491       0.702495       1.937371
       1.530000     -10.525210       0.728882       1.936580
       1.540000     -10.274413       0.759129       1.935784
       1.550000     -10.030962       0.793813       1.935102
       1.560000      -9.794709       0.832610       1.934641
       1.570000      -9.565525       0.874324       1.934472
       1.580000      -9.343362       0.917013       1.934621
       1.590000      -9.128294       0.958229       1.935069
       1.600000      -8.920545       0.995385       1.935759
       1.610000      -8.720455       1.026232       1.936606
       1.620000      -8.528409       1.049350       1.937516
       1.630000      -8.344726       1.064543       1.938388
       1.640000      -8.169560       1.072970       1.939130
       1.650000      -8.002857       1.076905       1.939665
       1.660000      -7.844367       1.079166       1.939940
       1.670000      -7.693719       1.082428       1.939936
       1.680000      -7.550519       1.088684       1.939675
       1.690000      -7.414421       1.099048       1.939218
       1.700000      -7.285179       1.113909       1.938664
       1.710000      -7.162658       1.133254       1.938124
       1.720000      -7.046833       1.156971       1.937705
       1.730000      -6.937757       1.184950       1.937486
       1.740000      -6.835526       1.216975       1.937510
       1.750000      -6.740270       1.252507       1.937788
       1.760000      -6.652190       1.290509       1.938307
       1.770000      -6.571607       1.329426       1.939044
       1.780000      -6.498994       1.367377       1.939969
       1.790000      -6.434950       1.402462       1.941051
       1.800000      -6.380134       1.433117       1.942253
       1.810000      -6.335172       1.458388       1.943530
       1.820000      -6.300556       1.478064       1.944830
       1.830000      -6.276529       1.492657       1.946095
       1.840000      -6.262942       1.503272       1.947268
       1.850000      -6.259103       1.511437       1.948297
       1.860000      -6.263609       1.518884       1.949146
       1.870000      -6.274199       1.527276       1.949800
       1.880000      -6.287701       1.537879       1.950272
       1.890000      -6.300160       1.551239       1.950610
       1.900000      -6.307224       1.567004       1.950890
       1.910000      -6.304719       1.583940       1.951207
       1.920000      -6.289295       1.600144       1.951658
       1.930000      -6.258905       1.613338       1.952319
       1.940000      -6.212995       1.621166       1.953233
       1.950000      -6.152347       1.621469       1.954405
       1.960000      -6.078713       1.612566       1.955804
       1.970000      -5.994358       1.593567       1.957375
       1.980000      -5.901666       1.564649       1.959051
       1.990000      -5.802850       1.527177       1.960758
       2.000000      -5.699806       1.483572       1.962425
       2.010000      -5.594053       1.436931       1.963994
       2.020000      -5.486757       1.390527       1.965415
       2.030000      -5.378788       1.347341       1.966655
       2.040000      -5.270794       1.309730       1.967688
       2.050000      -5.163266       1.279281       1.968495
       2.060000      -5.056587       1.256840       1.969061
       2.070000      -4.951072       1.242658       1.969380
       2.080000      -4.846980       1.236531       1.969462
       2.090000      -4.744530       1.237900       1.969345
       2.100000      -4.643904       1.245925       1.969104
       2.110000      -4.545248       1.259590       1.968838
       2.120000      -4.448674       1.277866       1.968656
       2.130000      -4.354252       1.299880       1.968654
       2.140000      -4.262005       1.324999       1.968892
       2.150000      -4.171903       1.352806       1.969386
       2.160000      -4.083854       1.383014       1.970110
       2.170000      -3.997715       1.415380       1.971013
       2.180000      -3.913311       1.449668       1.972033
       2.190000      -3.830470       1.485662       1.973115
       2.200000      -3.749052       1.523218       1.974213
       2.210000      -3.668973       1.562324       1.975295
       2.220000      -3.590205       1.603109       1.976326
       2.230000      -3.512759       1.645769       1.977269
       2.240000      -3.436662       1.690408       1.978074
       2.250000      -3.361931       1.736862       1.978684
       2.260000      -3.288565       1.784591       1.979053
       2.270000      -3.216541       1.832662       1.979157
       2.280000      -3.145829       1.879787       1.979013
       2.290000      -3.076396       1.924370       1.978682
       2.300000      -3.008218       1.964520       1.978264
       2.310000      -2.941263       1.998054       1.977873
       2.320000      -2.875475       2.022526       1.977612
       2.330000      -2.810750       2.035300       1.977558
       2.340000      -2.746934       2.033673       1.977753
       2.350000      -2.683837       2.015008       1.978213
       2.360000      -2.621284       1.976920       1.978933
       2.370000      -2.559152       1.917554       1.979903
       2.380000      -2.497406       1.836028       1.981106
