  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       1.510000       0.936928       1.646562       0.070987
       1.520000       0.923550       1.668438       0.070517
       1.530000       0.914604       1.686425       0.070102
       1.540000       0.910389       1.701425       0.069744
       1.550000       0.911118       1.715503       0.069429
       1.560000       0.916946       1.731283       0.069127
       1.570000       0.927975       1.751222       0.068801
       1.580000       0.944248       1.776940       0.068419
       1.590000       0.965719       1.808767       0.067966
       1.600000       0.992219       1.845527       0.067457
       1.610000       1.023414       1.884586       0.066939
       1.620000       1.058772       1.922205       0.066478
       1.630000       1.097573       1.954198       0.066153
       1.640000       1.138951       1.976819       0.066031
       1.650000       1.181991       1.987631       0.066155
       1.660000       1.225855       1.986083       0.066542
       1.670000       1.269900       1.973562       0.067172
       1.680000       1.313767       1.952969       0.067996
       1.690000       1.357412       1.928034       0.068946
       1.700000       1.401061       1.902649       0.069945
       1.710000       1.445098       1.880358       0.070924
       1.720000       1.489903       1.864027       0.071839
       1.730000       1.535711       1.855660       0.072670
       1.740000       1.582556       1.856309       0.073427
       1.750000       1.630336       1.866053       0.074135
       1.760000       1.678923       1.884039       0.074825
       1.770000       1.728240       1.908565       0.075525
       1.780000       1.778241       1.937250       0.076247
       1.790000       1.828805       1.967326       0.076989
       1.800000       1.879637       1.996061       0.077744
       1.810000       1.930267       2.021196       0.078505
       1.820000       1.980120       2.041248       0.079283
       1.830000       2.028641       2.055504       0.080107
       1.840000       2.075365       2.063757       0.081014
       1.850000       2.119946       2.065962       0.082042
       1.860000       2.162167       2.062075       0.083210
       1.870000       2.201966       2.052163       0.084512
       1.880000       2.239439       2.036698       0.085921
       1.890000       2.274777       2.016765       0.087390
       1.900000       2.308080       1.994026       0.088871
       1.910000       2.339130       1.970420       0.090323
       1.920000       2.367207       1.947785       0.091723
       1.930000       2.390999       1.927583       0.093066
       1.940000       2.408608       1.910789       0.094361
       1.950000       2.417615       1.897878       0.095626
       1.960000       2.415242       1.888805       0.096875
       1.970000       2.398634       1.882941       0.098115
       1.980000       2.365295       1.879023       0.099341
       1.990000       2.313611       1.875238       0.100535
       2.000000       2.243337       1.869479       0.101668
       2.010000       2.155870       1.859729       0.102710
       2.020000       2.054165       1.844435       0.103629
       2.030000       1.942290       1.822784       0.104402
       2.040000       1.824752       1.794806       0.105023
       2.050000       1.705850       1.761353       0.105510
       2.060000       1.589201       1.723936       0.105915
       2.070000       1.477531       1.684467       0.106312
       2.080000       1.372673       1.644959       0.106794
       2.090000       1.275692       1.607272       0.107452
       2.100000       1.187065       1.572965       0.108357
       2.110000       1.106853       1.543246       0.109548
       2.120000       1.034847       1.518922       0.111029
       2.130000       0.970676       1.500318       0.112771
       2.140000       0.913868       1.487161       0.114727
       2.150000       0.863892       1.478497       0.116837
       2.160000       0.820185       1.472736       0.119037
       2.170000       0.782163       1.467884       0.121257
       2.180000       0.749241       1.461933       0.123421
       2.190000       0.720832       1.453304       0.125446
       2.200000       0.696344       1.441155       0.127253
       2.210000       0.675169       1.425411       0.128776
       2.220000       0.656663       1.406514       0.129973
       2.230000       0.640147       1.385024       0.130829
       2.240000       0.624928       1.361275       0.131356
       2.250000       0.610366       1.335244       0.131582
       2.260000       0.595959       1.306627       0.131543
       2.270000       0.581424       1.275088       0.131275
       2.280000       0.566740       1.240546       0.130819
       2.290000       0.552128       1.203395       0.130217
       2.300000       0.537978       1.164594       0.129511
       2.310000       0.524751       1.125574       0.128732
       2.320000       0.512892       1.088007       0.127895
       2.330000       0.502767       1.053543       0.126999
       2.340000       0.494640       1.023572       0.126029
       2.350000       0.488663       0.999085       0.124972
       2.360000       0.484881       0.980612       0.123824
       2.370000       0.483238       0.968211       0.122601
       2.380000       0.483577       0.961486       0.121335
       2.390000       0.485649       0.959607       0.120074
       2.400000       0.489125       0.961362       0.118874
