  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       0.000000            NaN            NaN            NaN
       0.010000  -20173.421918 -117573.612629       2.590858
       0.020000   -5041.262870  -29391.893879       2.590878
       0.030000   -2239.011177  -13061.945955       2.590911
       0.040000   -1258.223062   -7346.464175       2.590958
       0.050000    -804.258255   -4701.012600       2.591019
       0.060000    -557.660062   -3263.977168       2.591093
       0.070000    -408.969104   -2397.490118       2.591181
       0.080000    -312.462926   -1835.106686       2.591282
       0.090000    -246.298581   -1449.538448       2.591397
       0.100000    -198.971586   -1173.743745       2.591526
       0.110000    -163.954934    -969.686846       2.591669
       0.120000    -137.321869    -814.484830       2.591826
       0.130000    -116.595054    -693.701156       2.591997
       0.140000    -100.148930    -597.862999       2.592183
       0.150000     -86.881008    -520.545654       2.592383
       0.160000     -76.022155    -457.267062       2.592597
       0.170000     -67.022575    -404.823304       2.592827
       0.180000     -59.480808    -360.874913       2.593072
       0.190000     -53.098181    -323.681382       2.593331
       0.200000     -47.648767    -291.926138       2.593607
       0.210000     -42.959117    -264.598413       2.593898
       0.220000     -38.894281    -240.911803       2.594205
       0.230000     -35.347995    -220.247055       2.594529
       0.240000     -32.235661    -202.111178       2.594869
       0.250000     -29.489253    -186.107760       2.595227
       0.260000     -27.053572    -171.915128       2.595601
       0.270000     -24.883446    -159.270051       2.595994
       0.280000     -22.941625    -147.955447       2.596405
       0.290000     -21.197166    -137.791006       2.596834
       0.300000     -19.624197    -128.625958       2.597282
       0.310000     -18.200951    -120.333453       2.597750
       0.320000     -16.909006    -112.806147       2.598239
       0.330000     -15.732690    -105.952707       2.598748
       0.340000     -14.658600     -99.695033       2.599278
       0.350000     -13.675223     -93.966020       2.599831
       0.360000     -12.772618     -88.707751       2.600406
       0.370000     -11.942171     -83.870029       2.601005
       0.380000     -11.176388     -79.409173       2.601629
       0.390000     -10.468721     -75.287031       2.602277
       0.400000      -9.813430     -71.470157       2.602952
       0.410000      -9.205469     -67.929135       2.603653
       0.420000      -8.640382     -64.638009       2.604383
       0.430000      -8.114227     -61.573805       2.605141
       0.440000      -7.623505     -58.716129       2.605930
       0.450000      -7.165101     -56.046829       2.606749
       0.460000      -6.736234     -53.549704       2.607601
       0.470000      -6.334417     -51.210257       2.608486
       0.480000      -5.957419     -49.015486       2.609404
       0.490000      -5.603233     -46.953702       2.610358
       0.500000      -5.270053     -45.014372       2.611347
       0.510000      -4.956247     -43.187988       2.612372
       0.520000      -4.660337     -41.465944       2.613433
       0.530000      -4.380986     -39.840441       2.614530
       0.540000      -4.116977     -38.304393       2.615660
       0.550000      -3.867205     -36.851355       2.616822
       0.560000      -3.630661     -35.475450       2.618011
       0.570000      -3.406424     -34.171313       2.619221
       0.580000      -3.193653     -32.934037       2.620445
       0.590000      -2.991575     -31.759127       2.621668
       0.600000      -2.799484     -30.642461       2.622874
       0.610000      -2.616729     -29.580250       2.624039
       0.620000      -2.442713     -28.569010       2.625130
       0.630000      -2.276884     -27.605530       2.626105
       0.640000      -2.118734     -26.686847       2.626908
       0.650000      -1.967794     -25.810228       2.627467
       0.660000      -1.823630     -24.973140       2.627694
       0.670000      -1.685839     -24.173243       2.627484
       0.680000      -1.554048     -23.408364       2.626719
       0.690000      -1.427913     -22.676488       2.625283
       0.700000      -1.307112     -21.975741       2.623074
       0.710000      -1.191345     -21.304384       2.620035
       0.720000      -1.080334     -20.660794       2.616187
       0.730000      -0.973821     -20.043460       2.611648
       0.740000      -0.871563     -19.450972       2.606646
       0.750000      -0.773334     -18.882014       2.601491
       0.760000      -0.678924     -18.335355       2.596524
       0.770000      -0.588133     -17.809845       2.592053
       0.780000      -0.500778     -17.304405       2.588304
       0.790000      -0.416686     -16.818026       2.585395
       0.800000      -0.335692     -16.349761       2.583343
       0.810000      -0.257646     -15.898720       2.582091
       0.820000      -0.182403     -15.464069       2.581538
       0.830000      -0.109830     -15.045021       2.581566
       0.840000      -0.039798     -14.640839       2.582058
       0.850000       0.027811     -14.250827       2.582909
       0.860000       0.093110     -13.874328       2.584033
       0.870000       0.156205     -13.510727       2.585357
       0.880000       0.217196     -13.159438       2.586828
       0.890000       0.276177     -12.819913       2.588401
       0.900000       0.333238     -12.491631       2.590046
       0.910000       0.388463     -12.174100       2.591739
       0.920000       0.441931     -11.866855       2.593464
       0.930000       0.493720     -11.569456       2.595207
       0.940000       0.543899     -11.281487       2.596962
       0.950000       0.592537     -11.002552       2.598722
       0.960000       0.639699     -10.732276       2.600484
       0.970000       0.685444     -10.470305       2.602247
       0.980000       0.729832     -10.216301       2.604009
       0.990000       0.772917      -9.969943       2.605771
       1.000000       0.814751      -9.730927       2.607533
       1.010000       0.855384      -9.498963       2.609297
       1.020000       0.894864      -9.273777       2.611064
       1.030000       0.933236      -9.055106       2.612835
       1.040000       0.970541      -8.842701       2.614614
       1.050000       1.006822      -8.636323       2.616401
       1.060000       1.042116      -8.435747       2.618200
       1.070000       1.076462      -8.240757       2.620011
       1.080000       1.109894      -8.051146       2.621839
       1.090000       1.142447      -7.866718       2.623684
       1.100000       1.174152      -7.687285       2.625549
       1.110000       1.205041      -7.512667       2.627437
       1.120000       1.235142      -7.342694       2.629351
       1.130000       1.264485      -7.177202       2.631292
       1.140000       1.293095      -7.016034       2.633264
       1.150000       1.320999      -6.859039       2.635269
       1.160000       1.348221      -6.706076       2.637310
       1.170000       1.374785      -6.557006       2.639389
       1.180000       1.400714      -6.411697       2.641509
       1.190000       1.426029      -6.270024       2.643673
       1.200000       1.450750      -6.131867       2.645884
       1.210000       1.474899      -5.997108       2.648144
       1.220000       1.498494      -5.865638       2.650455
       1.230000       1.521553      -5.737348       2.652820
       1.240000       1.544095      -5.612138       2.655240
       1.250000       1.566135      -5.489909       2.657717
       1.260000       1.587690      -5.370566       2.660250
       1.270000       1.608776      -5.254019       2.662839
       1.280000       1.629408      -5.140181       2.665481
       1.290000       1.649600      -5.028968       2.668171
       1.300000       1.669366      -4.920298       2.670902
       1.310000       1.688720      -4.814096       2.673660
       1.320000       1.707674      -4.710286       2.676428
       1.330000       1.726241      -4.608796       2.679181
       1.340000       1.744432      -4.509558       2.681882
       1.350000       1.762259      -4.412504       2.684484
       1.360000       1.779733      -4.317571       2.686920
       1.370000       1.796866      -4.224696       2.689104
       1.380000       1.813666      -4.133821       2.690924
       1.390000       1.830144      -4.044887       2.692238
       1.400000       1.846310      -3.957840       2.692877
       1.410000       1.862173      -3.872626       2.692639
       1.420000       1.877741      -3.789194       2.691311
       1.430000       1.893024      -3.707493       2.688683
       1.440000       1.908029      -3.627475       2.684589
       1.450000       1.922765      -3.549095       2.678948
       1.460000       1.937240      -3.472307       2.671812
       1.470000       1.951460      -3.397068       2.663395
       1.480000       1.965434      -3.323336       2.654078
       1.490000       1.979167      -3.251071       2.644364
       1.500000       1.992668      -3.180234       2.634817
       1.510000       2.005942      -3.110786       2.625973
       1.520000       2.018997      -3.042692       2.618268
       1.530000       2.031837      -2.975916       2.611992
       1.540000       2.044469      -2.910424       2.607271
       1.550000       2.056899      -2.846182       2.604090
       1.560000       2.069132      -2.783159       2.602326
       1.570000       2.081174      -2.721323       2.601794
       1.580000       2.093030      -2.660644       2.602284
       1.590000       2.104705      -2.601094       2.603589
       1.600000       2.116204      -2.542644       2.605527
