  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       1.510000       2.567935       1.581962       0.045477
       1.520000       2.421479       1.636181       0.045852
       1.530000       2.289374       1.692023       0.046306
       1.540000       2.170066       1.750117       0.046787
       1.550000       2.062200       1.810696       0.047247
       1.560000       1.964605       1.873233       0.047642
       1.570000       1.876269       1.936342       0.047947
       1.580000       1.796322       1.998011       0.048166
       1.590000       1.724013       2.056150       0.048328
       1.600000       1.658701       2.109309       0.048482
       1.610000       1.599831       2.157315       0.048680
       1.620000       1.546920       2.201583       0.048964
       1.630000       1.499541       2.244970       0.049357
       1.640000       1.457300       2.291247       0.049854
       1.650000       1.419819       2.344391       0.050430
       1.660000       1.386714       2.407901       0.051045
       1.670000       1.357581       2.484276       0.051661
       1.680000       1.331993       2.574637       0.052256
       1.690000       1.309519       2.678490       0.052832
       1.700000       1.289767       2.793601       0.053418
       1.710000       1.272429       2.916031       0.054062
       1.720000       1.257339       3.040442       0.054813
       1.730000       1.244483       3.160768       0.055710
       1.740000       1.233977       3.271209       0.056767
       1.750000       1.226002       3.367349       0.057970
       1.760000       1.220737       3.447040       0.059276
       1.770000       1.218302       3.510750       0.060620
       1.780000       1.218736       3.561290       0.061927
       1.790000       1.221991       3.603079       0.063122
       1.800000       1.227950       3.641248       0.064137
       1.810000       1.236455       3.680872       0.064924
       1.820000       1.247333       3.726541       0.065456
       1.830000       1.260439       3.782306       0.065725
       1.840000       1.275672       3.851892       0.065736
       1.850000       1.292965       3.938942       0.065507
       1.860000       1.312266       4.047047       0.065059
       1.870000       1.333515       4.179487       0.064428
       1.880000       1.356655       4.338705       0.063663
       1.890000       1.381654       4.525623       0.062826
       1.900000       1.408523       4.738872       0.061985
       1.910000       1.437281       4.974014       0.061200
       1.920000       1.467906       5.222880       0.060509
       1.930000       1.500292       5.473228       0.059924
       1.940000       1.534256       5.709029       0.059434
       1.950000       1.569566       5.911688       0.059008
       1.960000       1.605954       6.062312       0.058608
       1.970000       1.643107       6.144831       0.058196
       1.980000       1.680622       6.149242       0.057738
       1.990000       1.717980       6.073940       0.057204
       2.000000       1.754515       5.926170       0.056567
       2.010000       1.789387       5.720319       0.055806
       2.020000       1.821520       5.474693       0.054912
       2.030000       1.849565       5.207965       0.053896
       2.040000       1.871879       4.936407       0.052789
       2.050000       1.886565       4.672418       0.051642
       2.060000       1.891569       4.424233       0.050522
       2.070000       1.884849       4.196378       0.049494
       2.080000       1.864636       3.990410       0.048620
       2.090000       1.829775       3.805642       0.047952
       2.100000       1.780074       3.639802       0.047528
       2.110000       1.716536       3.489658       0.047378
       2.120000       1.641369       3.351671       0.047519
       2.130000       1.557707       3.222617       0.047964
       2.140000       1.469134       3.100081       0.048721
       2.150000       1.379143       2.982696       0.049791
       2.160000       1.290713       2.870111       0.051166
       2.170000       1.206070       2.762763       0.052832
       2.180000       1.126656       2.661560       0.054760
       2.190000       1.053219       2.567584       0.056903
       2.200000       0.985983       2.481872       0.059194
       2.210000       0.924823       2.405268       0.061539
       2.220000       0.869418       2.338336       0.063825
       2.230000       0.819357       2.281293       0.065917
       2.240000       0.774210       2.233962       0.067681
       2.250000       0.733555       2.195771       0.068997
       2.260000       0.696988       2.165839       0.069788
       2.270000       0.664129       2.143163       0.070038
       2.280000       0.634618       2.126857       0.069793
       2.290000       0.608115       2.116341       0.069160
       2.300000       0.584297       2.111359       0.068283
       2.310000       0.562855       2.111831       0.067320
       2.320000       0.543499       2.117602       0.066422
       2.330000       0.525952       2.128240       0.065718
       2.340000       0.509972       2.143019       0.065308
       2.350000       0.495353       2.161111       0.065262
       2.360000       0.481946       2.181936       0.065621
       2.370000       0.469654       2.205531       0.066404
       2.380000       0.458425       2.232783       0.067607
       2.390000       0.448231       2.265436       0.069203
       2.400000       0.439045       2.305852       0.071146
       2.410000       0.430815       2.356616       0.073370
       2.420000       0.423455       2.420083       0.075789
       2.430000       0.416834       2.497960       0.078302
       2.440000       0.410787       2.590955       0.080800
